province;red;green;blue;x;x
# 1420;1;162;200;Jyenx;x
# 1421;43;165;73;Ngioi;x
# 1423;127;171;74;Cex;x
# 1424;169;174;202;Zsio;x
# 1427;85;183;76;Suungh;x
# 1429;169;189;77;Haix;x
# 1430;1;192;205;Bak;x
# 1431;43;195;78;Siuk;x
# 1432;85;198;206;Chriox;x
# 1433;127;201;79;Thad;x
# 1434;169;204;207;Jang;x
# 1437;85;0;81;Zjuh;x
# 1438;127;3;209;Kuang;x
# 1439;169;6;82;Ghuang;x
# 1440;1;9;210;Sjo;x
# 1441;43;12;83;Ghua;x
# 1442;85;15;211;Kuot;x
# 1443;127;18;84;Bienh;x
# 1444;169;21;212;Si;x
# 1446;43;27;213;Driengh;x
# 1447;85;30;86;Njox;x
# 1448;127;33;214;Hiox;x
# 1449;169;36;87;Drin;x
# 1450;1;39;215;Jyengx;x
# 1451;43;42;88;Chad;x
# 1452;85;45;216;Sjing;x
# 1453;127;48;89;Thadbjen;x
# 1456;43;57;218;Zjang;x
# 1457;85;60;91;So;x
# 1458;127;63;219;Siuh;x
# 1459;169;66;92;Gho;x
# 1460;1;69;220;Ghang;x
# 1461;43;72;93;Miuk;x
# 1462;85;75;221;Yat;x
# 1464;169;81;222;Thai;x
# 1465;1;84;95;Uon;x
# 1466;43;87;223;Chjoh;x
# 1468;127;93;224;Gyo;x
# 1469;169;96;97;Syen;x
# 1470;1;99;225;Drie;x
# 1471;43;102;98;Sjep;x
# 1472;85;105;226;Krung;x
# 1474;169;111;227;Njeu;x
# 1475;1;114;0;Sinh;x
# 1476;43;117;128;Hing-kuok;x
# 1477;85;120;1;Ghung;x
# 1480;1;129;130;Phyox;x
# 1481;43;132;3;Kjit;x
# 1482;85;135;131;Gien;x
# 1483;127;138;4;Piuk;x
# 1484;169;141;132;Kianh;x
# 1485;1;144;5;Nom-kiamh;x
# 1487;85;150;6;Theng;x
# 1489;169;156;7;Zyen;x
# 1490;1;159;135;Cjang;x
# 1491;43;162;8;Kuangx;x
# 1492;85;165;136;Zjeu;x
# 1493;127;168;9;Lien;x
# 1494;169;171;137;Nom-iung;x #REMOVED, merged with 1492
# 1495;1;174;10; 'ieng;x #REMOVED, merged with 1493
# 1496;43;177;138;Ghueh;x
# 1497;85;180;11;Muai;x #REMOVED, merged with 1499
# 1498;127;183;139;Drieu;x
# 1499;169;186;12;Zsyn;x
# 1500;1;189;140;Khang;x
# 1502;85;195;141;Nom-'on;x
# 1503;127;198;14;Pyung;x #REMOVED, merged with 1500
# 1504;169;201;142;Hruah;x #REMOVED, merged with 1505
# 1505;1;204;15;Luai;x
# 1506;43;207;143;Gjyeng;x
# 1507;85;210;16;Liem;x #REMOVED, merged with 1508
# 1508;127;0;144;Khim;x
# 1509;169;3;17;Ngo;x
# 1510;1;6;145;Zsim;x #REMOVED, merged with 1511
# 1511;43;9;18;Jyung;x
# 1512;85;12;146;Zsiangx;x
# 1513;127;15;19; 'yung;x
# 1514;169;18;147;Ziih-khix;x #REMOVED, merged with 1513
# 1515;1;21;20;Dok-mua;x #REMOVED, merged with 1513
# 1516;43;24;148;Kueh;x
# 1517;85;27;21;Jung;x
# 1518;127;30;149;Ngie;x
# 1519;169;33;22;Liux;x #REMOVED, merged with 1517
# 1520;1;36;150;Dom;x
# 1521;43;39;23;Zjeuh;x
# 1522;85;42;151;Ghrang;x
# 1523;127;45;24;Yengx;x #REMOVED, merged with 1521
# 1524;169;48;152;Thrim;x
# 1525;1;51;25;Daux;x #REMOVED, merged with 1526
# 1526;43;54;153;Zyen;x
# 1527;85;57;26;Myox-kang;x
# 1528;127;60;154;Kieng;x
# 1529;169;63;27; 'an;x
# 1530;1;66;155;Biuk;x #REMOVED, merged with 1529
# 1531;43;69;28;Mjenx;x #REMOVED, merged with 1529
# 1532;85;72;156;Ngak;x
# 1533;127;75;29;Ngruk;x
# 1534;169;78;157;Ghrep;x
# 1535;1;81;30;Kyoi;x #REMOVED, merged with 1534
# 1536;43;84;158;Lex;x
# 1537;85;87;31;Tengx;x
# 1538;127;90;159;Zjin;x
# 1539;169;93;32;Ngyan;x
# 1540;1;96;160;Ziengx;x #REMOVED, merged with 1539
# 1541;43;99;33;Siang;x
# 1542;85;102;161;Jengx;x
# 1543;127;105;34;Zsye;x #REMOVED, merged with 1542
# 1544;169;108;162;Dang;x
# 1545;1;111;35;Dongh;x
# 1546;43;114;163;Kjyn;x #REMOVED, merged with 1545
# 1547;85;117;36;Byang;x #REMOVED, merged with 1541
# 1548;127;120;164;Kim;x
# 1549;169;123;37;Gyi;x
# 1550;1;126;165;That;x
# 1551;43;129;38;Khai;x #REMOVED, merged with 1550
# 1552;85;132;166;Myanh;x #REMOVED, merged with 1554
# 1553;127;135;39;Sje;x #REMOVED, merged with 1549
# 1554;169;138;167;Triung;x
# 1555;1;141;40;Biu;x #REMOVED, merged with 1556
# 1556;43;144;168;Kyung;x
# 1557;85;147;41;Trin;x
# 1558;127;150;169;Giem;x
# 1559;169;153;42;La-denh;x #REMOVED, merged with 1558
# 1560;1;156;170;Liang;x
# 1561;43;159;43;Hing;x #REMOVED, merged with 1560
# 1562;85;162;171;Jang;x #REMOVED, merged with 1560
# 1563;127;165;44;Liih;x
# 1564;169;168;172;Pra;x
# 1565;1;171;45;Bung;x #REMOVED, merged with 1564
# 1566;43;174;173;Langh;x
# 1567;85;177;46;Kiamh;x
# 1568;127;180;174;Lyung;x #REMOVED, merged with 1563
# 1569;169;183;47;Myon;x #REMOVED, merged with 1563
# 1570;1;186;175;Gio;x
# 1571;43;189;48;Kuax;x #REMOVED, merged with 1570
# 1572;85;192;176;Cix;x
# 1573;127;195;49;Zsyih;x #REMOVED, merged with 1574
# 1574;169;198;177;Ghop;x
# 1575;1;201;50;Phox;x
# 1576;43;204;178;Chjang;x #REMOVED, merged with 1574
# 1577;85;207;51;Cii;x
# 1578;127;210;179;Yeng;x
# 1579;169;0;52;Lo;x
# 1580;1;3;180;Zsiox;x
# 1581;43;6;53;La-zjex;x #REMOVED, merged with 1579
# 1582;85;9;181;Zjek-muon;x #REMOVED, merged with 1580
# 1583;127;12;54;Mjen;x
# 1584;169;15;182;Muh;x
# 1585;1;18;55; 'yoi;x #REMOVED, merged with 1584
# 1586;43;21;183;Hanh;x
# 1587;85;24;56;Brang;x #REMOVED, merged with 1586
# 1588;127;27;184;Krenx;x
# 1589;169;30;57; 'jek;x
# 1590;1;33;185;Zjyuk;x
# 1591;43;36;58;Gyung;x #REMOVED, merged with 1590
# 1592;85;39;186;Mii;x #REMOVED, merged with 1590
# 1593;127;42;59;Ling;x #REMOVED, merged with 1588
# 1594;169;45;187;Kra;x
# 1595;1;48;60;Ngrax;x
# 1596;43;51;188;Le;x #REMOVED, merged with 1595
# 1597;85;54;61; 'yung;x
# 1598;127;57;189;Sjang;x
# 1599;169;60;62;Kruak;x #REMOVED, merged with 1600
# 1600;1;63;190;Sjemx;x
# 1601;43;66;63;Ghrex;x #REMOVED, merged with 1602
# 1602;85;69;191;Bo;x
# 1603;127;72;64;Dung;x #REMOVED, merged with 1604
# 1604;169;75;192;Ghruah;x
# 1605;1;78;65;Jeuh;x
# 1606;43;81;193;Jen;x
# 1607;85;84;66;Syi;x
# 1608;127;87;194;Tan;x #REMOVED, merged with 1609
# 1609;169;90;67;Phyo;x
# 1610;1;93;195;Pyang;x
# 1611;43;96;68;Khiengh;x
# 1612;85;99;196;Ghruan;x
# 1613;127;102;69;Neng;x
# 1614;169;105;197;Pin;x #REMOVED, merged with 1613
# 1615;1;108;70;Gje;x
# 1616;43;111;198;Lyungx;x #REMOVED, merged with 1615
# 1617;85;114;71;Zin;x
# 1618;127;117;199;Keng;x #REMOVED, merged with 1619
# 1619;169;120;72;Yoih;x
# 1620;1;123;200;Ngyan;x
# 1621;43;126;73;Ghuad;x #REMOVED, merged with 1623
# 1622;85;129;201;Kyungx;x #REMOVED, merged with 1617
# 1623;127;132;74;Lan;x
# 1624;169;135;202;Hi;x #REMOVED, merged with 1625
# 1625;1;138;75;Gha;x
# 1626;43;141;203;Ghuang;x
# 1627;85;144;76;Zjenx;x
# 1628;127;147;204;Ciek-zjek;x #REMOVED, merged with 1627
# 1629;169;150;77;Khuak;x #REMOVED, merged with 1626
# 1630;1;153;205;Zjeng;x #REMOVED, merged with 1631
# 1631;43;156;78;Biungh;x
# 1632;85;159;206;Krai;x
# 1633;127;162;79;Min;x
# 1634;169;165;207;Thau;x
# 1635;1;168;80;Pjeng;x
# 1636;43;171;208;Hion;x #REMOVED, merged with 1637
# 1637;85;174;81;Daih;x
# 1638;127;177;209;Leu;x
# 1639;169;180;82;Byon;x
# 1640;1;183;210;Loh;x
# 1641;43;186;83;Drak;x
# 1642;85;189;211;Krungh;x
# 1643;127;192;84;Cinh;x
# 1644;169;195;212;Zsip;x
# 1645;1;198;85;Zjek;x
# 1646;43;201;213;Lom;x
# 1647;85;204;86;Lin;x
# 1648;127;207;214;Pyox;x
# 1649;169;210;87;Ngyoih;x
# 1650;1;0;215;Ghruai;x
# 1651;43;3;88;Yed;x
# 1652;85;6;216;Danh;x
# 1653;127;9;89;Paiwan;x #Pak REMOVED, merged with 1654
# 1654;169;12;217;Tok;x
# 1655;1;15;90;Deh;x
# 1656;43;18;218;Pjin;x #REMOVED, merged with 1655
# 1657;85;21;91;Jeng;x
# 1658;127;24;219;Kiih;x
# 1659;169;27;92; 'on;x #REMOVED, merged with 1658
# 1660;1;30;220;Kiengx;x #REMOVED, merged with 1657
# 1661;43;33;93;Chang;x #REMOVED, merged with 1665
# 1662;85;36;221;Iung;x #REMOVED, merged with 1664
# 1663;127;39;94;Mak;x #REMOVED, merged with 1664
# 1664;169;42;222;Prah;x
# 1665;1;45;95;Chieng;x
# 1666;43;48;223;Trinh;x
# 1667;85;51;96;Drieux;x
# 1668;127;54;224;Gheng;x #REMOVED, merged with 1667
# 1669;169;57;97;Mjeng;x
# 1670;1;60;225;Zi;x #REMOVED, merged with 1669
# 1671;43;63;98;Siang;x
# 1672;85;66;226;Dengh;x
# 1673;127;69;99;Paux;x
# 1674;169;72;227;Sjim;x
# 1675;1;75;0;Gjii;x #REMOVED, merged with 1674
# 1676;43;78;128;Kau;x #REMOVED, merged with 1505
# 1680;169;69;0;Tagadur;x #Salem
# 1729;169;24;27;Kamarupanagara;x #Hajo
# 1732;85;33;156;Karmanta;x #Agartala
# 1733;127;36;29;Imphal;x
# 1738;127;51;159;Dartsedo;x
# 1739;169;54;32;Maqen;x
# 1740;1;57;160;Manggeng;x
# 1741;43;165;178;Kalanjara;x
# 1745;1;177;180;Hastinapura;x
# 1749;169;189;182;Markam;x
# 1750;1;192;55;Baima;x
# 1753;43;102;203;Dab-lit;x
# 1754;85;105;76;Lungh-tungh;x
# 1755;127;108;204; 'yoi-chriox;x
# 1756;169;111;77;Kianh-chjang;x
# 1757;1;114;205;Ghuad-chjyen;x
# 1758;43;117;78;Liu-thuungh;x
# 1759;85;120;206;Zjenx-giox;x
# 1760;127;123;79;Tung-chjyen;x
# 1761;169;126;207;Zjenx-chjenx;x
# 1762;1;129;80;Zjek-zjeng;x
# 1763;43;132;208;Cuad-neng;x
# 1764;85;135;81;Siuh-sren;x
# 1765;127;138;209;Yengx-chjang;x
# 1766;169;141;82;Dong-driung;x
# 1767;1;144;210;Leng;x
# 1768;43;147;83;Yoi;x
# 1769;85;150;211;Ghrax;x
# 1770;127;153;84;Jem;x
# 1771;169;156;212;Iuh;x
# 1772;1;159;85;Ngin;x
# 1773;43;162;213;Liang;x
# 1774;85;165;86;Kam;x
# 1775;127;168;214;Eji Nai;x
# 1776;169;171;87;Brak-mra;x
# 1777;1;174;215;Hok-sren;x
# 1778;43;177;88;Iux-siang;x
# 1779;85;180;216; 'y;x
# 1780;127;183;89;Bjen;x
# 1781;169;186;217;Keh;x
# 1782;1;189;90;Dan;x
# 1783;43;192;218;Kye;x
# 1784;85;195;91;Jek;x
# 1785;127;198;219;Yon;x
# 1786;169;201;92;Sruk;x
# 1787;1;204;220; 'ingh;x
# 1788;43;207;93; 'yoih;x
# 1789;85;210;221;Dad-dengh;x
# 1790;127;0;94;Prah;x
# 1791;169;3;222;Kimx;x
# 1792;1;6;95;Cuung;x
# 1793;43;9;223;Ghrem;x
# 1794;85;12;96; 'iih;x
# 1795;127;15;224;Leu-jang;x
# 1796;169;18;97;Chjimx;x
# 1797;1;21;225;Henx;x
# 1798;43;24;98;Biuk;x
# 1799;85;27;226;Manju;x
# 1800;127;30;99;Phiung;x
# 1801;169;33;227;Sjingh;x
# 1802;2;36;0;Ghuan;x
# 1803;44;39;128;Then-tok;x
# 1804;86;42;1;Lim-ghuang;x
# 1805;128;45;129;Ghuad-neng;x
# 1806;170;48;2;Drieux;x
# 1807;2;51;130;Yongwon;x #Hailan
# 1808;44;54;3;Anwon;x #Suifan
# 1809;86;57;131;Hurha;x
# 1810;128;60;4;Bojo;x
# 1811;170;63;132;Bukgye;x
# 1812;2;66;5;Hae;x
# 1813;44;69;133;Hwang;x
# 1814;86;72;6;Gyeonggi;x
# 1815;128;75;134;Gyo;x
# 1816;170;78;7;Donggye;x
# 1817;2;81;135;Gwang;x
# 1818;44;84;8;Gong;x
# 1819;86;87;136;Cheong;x
# 1820;128;90;9;Won;x
# 1821;170;93;137;Jeon;x
# 1822;2;96;10;Na;x
# 1823;44;99;138;Seung;x
# 1824;86;102;11;Jeju;x
# 1825;128;105;139;Sang;x
# 1826;170;108;12;Gang;x
# 1827;2;111;140;Yang ;x
# 1828;44;114;13;Morotai;x
# 1829;86;117;141;Mutsu;x
# 1830;128;120;14;Dewa;x
# 1831;170;123;142;Rikusen;x
# 1832;2;126;15;Echigo;x
# 1833;44;129;143;Kozuke;x
# 1834;86;132;16;Hitachi;x
# 1835;128;135;144;Kazusa;x
# 1836;170;138;17;Musashi;x
# 1837;2;141;145;Sagami;x
# 1838;44;144;18;Kai;x
# 1839;86;147;146;Shinano;x
# 1840;128;150;19;Suruga;x
# 1841;170;153;147;Owari;x
# 1842;2;156;20;Mino;x
# 1843;44;159;148;Etchu;x
# 1844;86;162;21;Kaga;x
# 1845;128;165;149;Echizen;x
# 1846;170;168;22;Ise;x
# 1847;2;171;150;Omi;x
# 1848;44;174;23;Onon;x
# 1849;86;177;151;Kerlen;x
# 1850;128;180;24;Khan Khentii;x
# 1851;170;183;152;Tuul;x
# 1852;2;186;25;Selenge;x
# 1853;44;189;153;Karakorum;x
# 1854;86;192;26;Dalai Eej;x
# 1855;128;195;154;Arkhangai;x
# 1856;170;198;27;Uvurkhangai;x
# 1857;2;201;155;Telmen;x
# 1858;44;204;28;Uliastai;x
# 1859;86;207;156;Ubs;x
# 1860;128;210;29;Hyargas;x
# 1861;170;0;157;Zavhan;x
# 1862;2;3;30;Eej Khairhan;x
# 1863;44;6;158;Umnugobi;x
# 1864;86;9;31;Dornogobi;x
# 1865;128;12;159;Khara Narin Ula;x
# 1866;170;15;32;Saihan Tal;x
# 1867;2;18;160;Tsagaan;x
# 1875;128;42;164;Bargu;x
# 1876;170;45;37;Chukhe;x
# 1877;2;48;165;Tayichiud;x
# 1878;44;51;38;Ergun;x
# 1879;86;54;166;Hulun Buir;x
# 1882;2;63;40;Yenisei;x
# 1884;86;69;41;Kan;x
# 1885;128;72;169;Elyu Ene;x
# 1886;170;75;42;Erkhuu;x
# 1887;2;78;170;Angara;x
# 1892;44;96;173;Nagormo;x
# 1893;86;99;46;Xining;x
# 1894;128;102;174;Dege;x
# 1895;170;105;47;Diexi;x
# 1896;2;108;175;Dzoi;x
# 1897;44;111;48;Ngawa;x
# 1899;128;117;49;Sungqu;x
# 1906;2;30;70;Yongcheon;x
# 1907;44;33;198;Hyeongdeok;x
# 1908;86;36;71;Namhae;x
# 1909;128;39;199;Amnok;x
# 1910;170;42;72;Jangnyeong;x
# 1911;2;45;200;Buyeo;x
# 1912;44;48;73;Makhil;x
# 1913;86;51;201;Jeongri;x
# 1914;128;54;74;Anbyeon;x
# 1915;170;57;202;Solbin;x
# 1916;2;60;75;Dongpyeong;x
# 1917;44;63;203;Cheoli;x
# 1918;86;66;76;Hoewon;x
# 1919;128;69;204;Yeongju;x
# 1920;170;72;77;Dongju;x
# 1921;2;75;205;Sokju;x
# 1922;44;78;78;Tsushima;x
# 1923;86;81;206;Cinarca;x
# 1926;2;90;80;Yamato;x
# 1927;44;93;208;Yamashiro;x
# 1928;44;105;18;Tango;x
# 1929;86;108;146;Settsu;x
# 1930;128;111;19;Kii;x
# 1931;170;114;147;Tajima;x
# 1954;170;201;197;Begemder;x
# 1982;126;33;159;Saimaa;x
# 1983;84;15;156;Kallavesi;x
# 1986;84;135;176;Mälaren;x
# 2040;126;60;199;Lake Yalpug;x
# 2045;85;54;6;Päijänne;x
# 2047;168;186;57;Mediterranean Sea;x
# 2059;42;9;63;Strait di Messina;x
# 2063;169;84;187;Seto Inland Sea;x
# 2064;1;87;60;Izu Offshore;x
# 2065;43;90;188;Sanriku Offshore;x
# 2066;85;93;61;Kuril Sea;x
# 2067;127;96;189;Oktothsk Sea;x
# 2068;169;99;62;Tatar Straits;x
# 2069;1;102;190;Sea of Japan;x
# 2070;43;105;63;Oki Offshore;x
# 2071;85;108;191;South Manchu Sea;x
# 2072;127;111;64;Korean Sea;x
# 2073;169;114;192;Tsushima Strait;x
# 2074;1;117;65;Ryukyu Islands;x
# 2075;43;120;193;Nansei Islands;x
# 2076;85;123;66;Nampo-Shoto Sea;x
# 2077;127;126;194;Yellow Sea;x
# 2078;169;129;67;South Qi;x
# 2079;1;132;195;Taiwan Strait;x
# 2080;43;135;68;Nan Hai;x
# 2081;85;81;1;Guanghou Bay;x
# 2082;127;84;129;Gulf of Tonkin;x
# 2083;169;87;2;Coast of Annam;x
# 2084;1;90;130;Luzon Strait;x
# 2085;43;93;3;Sulu Sea;x
# 2086;85;96;131;Gulf of Leyte;x
# 2087;127;99;4;Paracel Islands;x
# 2088;169;102;132;Manila Bay;x
# 2089;1;105;5;Mariana Islands;x
# 2090;43;108;133;Yap Islands;x
# 2091;85;111;6;Coast of Brunei;x
# 2092;127;114;134;Cam Rah Bay;x
# 2093;169;117;7;South China Sea;x
# 2094;1;120;135;Coast of Sarawk;x
# 2095;43;123;8;Mekong Delta;x
# 2096;85;126;136;Gulf of Siam;x
# 2097;127;129;9;Philipine Sea;x
# 2098;169;132;137;Sea of Celebes;x
# 2099;1;135;10;Straits of Makassar;x
# 2100;43;138;138;Malayan Sea;x
# 2101;85;141;11;Straits of Johore;x
# 2102;127;144;139;Karimata Strait;x
# 2103;169;147;12;Java Sea;x
# 2104;1;150;140;Christmas Island;x
# 2105;43;153;13;Coast of Surabaya;x
# 2106;85;156;141;Tanjungpura Sea;x
# 2107;127;159;14;Coast of Java;x
# 2108;169;162;142;Straits of Lombok;x
# 2109;1;165;15;Sea of Ternete;x
# 2110;43;168;143;Timor Sea;x
# 2111;85;171;16;The Moluccas;x
# 2112;127;174;144;Sea of Banda;x
# 2113;169;177;17;Kolepom Bay;x
# 2114;1;180;145;Arafuam Sea;x
# 2115;43;183;18;Palau Islands;x
# 2116;127;201;184;Straits of Malacca;x
# 2117;169;204;57;Mergui Archipelago;x
# 2118;1;207;185;Irrawady Delta;x
# 2123;1;9;60;Coast of Sumatra;x
# 2124;43;12;188;Coast of Atjeh;x
# 2140;85;60;196;Straits of Obokk;x
# 2154;128;87;44;Kukunor;x
# 2174;128;177;59;Uvs;x
# 2175;170;180;187;Khyargas;x
# 2176;2;183;60;Khar;x
# 2177;44;186;188;Khar-Us;x
# 2178;86;189;61;Khovsgol;x
# 2179;128;192;189;Baikal;x
# 2180;170;195;62;Hulun;x
# 2181;2;198;190;Khanka;x
# 2182;44;201;63;Tai;x
# 2183;86;204;191;Dongting;x
# 2184;128;207;64;Tonle Sap;x
# 2185;170;210;192;Toba;x
# 2260;250;250;250;Cape of Good Hope;x
# 2308;170;108;217;;x
# 2309;2;111;90;;x
# 2310;44;114;218;;x
# 2311;86;117;91;;x
# 2312;128;120;219;;x
# 2313;170;123;92;;x
# 2314;2;126;220;;x
# 2315;44;129;93;;x
# 2316;86;132;221;;x
# 2317;128;135;94;;x
# 2318;170;138;222;;x
# 2319;2;141;95;;x
# 2320;44;144;223;;x
# 2321;86;147;96;;x
# 2322;128;150;224;;x
# 2323;170;153;97;;x
# 2324;2;156;225;;x
# 2325;44;159;98;;x
# 2326;86;162;226;;x
# 2327;128;165;99;;x
# 2328;170;168;227;;x
# 2329;2;171;0;;x
# 2330;44;174;128;;x
# 2331;86;177;1;;x
# 2332;128;180;129;;x
# 2333;170;183;2;;x
# 2334;2;186;130;;x
# 2335;44;189;3;;x
# 2336;86;192;131;;x
# 2337;128;195;4;;x
# 2338;170;198;132;;x
# 2339;2;201;5;;x
# 2340;44;204;133;;x
# 2341;86;207;6;;x
# 2342;128;210;134;;x
# 2343;170;0;7;;x
# 2344;2;3;135;;x
# 2345;44;6;8;;x
# 2346;86;9;136;;x
# 2347;128;12;9;;x
# 2348;170;15;137;;x
# 2349;2;18;10;;x
# 2350;44;21;138;;x
# 2351;86;24;11;;x
# 2352;128;27;139;;x
# 2353;170;30;12;;x
# 2354;2;33;140;;x
# 2355;44;36;13;;x
# 2356;86;39;141;;x
# 2357;128;42;14;;x
# 2358;170;45;142;;x
# 2359;2;48;15;;x
# 2360;44;51;143;;x
# 2361;86;54;16;;x
# 2362;128;57;144;;x
# 2363;170;60;17;;x
# 2364;2;63;145;;x
# 2365;44;66;18;;x
# 2366;86;69;146;;x
# 2367;128;72;19;;x
# 2368;170;75;147;;x
# 2369;2;78;20;;x
# 2370;44;81;148;;x
# 2371;86;84;21;;x
# 2372;128;87;149;;x
# 2373;170;90;22;;x
# 2374;2;93;150;;x
# 2375;44;96;23;;x
# 2376;86;99;151;;x
# 2377;128;102;24;;x
# 2378;170;105;152;;x
# 2379;2;108;25;;x
# 2380;44;111;153;;x
# 2381;86;114;26;;x
# 2382;128;117;154;;x
# 2383;170;120;27;;x
# 2384;2;123;155;;x
# 2385;44;126;28;;x
# 2386;86;129;156;;x
# 2387;128;132;29;;x
# 2388;170;135;157;;x
# 2389;2;138;30;;x
# 2390;44;141;158;;x
# 2391;86;144;31;;x
# 2392;128;147;159;;x
# 2393;170;150;32;;x
# 2394;2;153;160;;x
# 2395;44;156;33;;x
# 2396;86;159;161;;x
# 2397;128;162;34;;x
# 2398;170;165;162;;x
# 2399;2;168;35;;x
# 2400;44;171;163;;x
# 2401;86;174;36;;x
# 2402;128;177;164;;x
# 2403;170;180;37;;x
# 2404;2;183;165;;x
# 2405;44;186;38;;x
# 2406;86;189;166;;x
# 2407;128;192;39;;x
# 2408;170;195;167;;x
# 2409;2;198;40;;x
# 2410;44;201;168;;x
# 2411;86;204;41;;x
# 2412;128;207;169;;x
# 2413;170;210;42;;x
# 2414;2;0;170;;x
# 2415;44;3;43;;x
# 2416;86;6;171;;x
# 2417;128;9;44;;x
# 2418;170;12;172;;x
# 2419;2;15;45;;x
# 2420;44;18;173;;x
# 2421;86;21;46;;x
# 2422;128;24;174;;x
# 2423;170;27;47;;x
# 2424;2;30;175;;x
# 2425;44;33;48;;x
# 2426;86;36;176;;x
# 2427;128;39;49;;x
# 2428;170;42;177;;x
# 2429;2;45;50;;x
# 2430;44;48;178;;x
# 2431;86;51;51;;x
# 2432;128;54;179;;x
# 2433;170;57;52;;x
# 2434;2;60;180;;x
# 2435;44;63;53;;x
# 2436;86;66;181;;x
# 2437;128;69;54;;x
# 2438;170;72;182;;x
# 2439;2;75;55;;x
# 2440;44;78;183;;x
# 2441;86;81;56;;x
# 2442;128;84;184;;x
# 2443;170;87;57;;x
# 2444;2;90;185;;x
# 2445;44;93;58;;x
# 2446;86;96;186;;x
# 2447;128;99;59;;x
# 2448;170;102;187;;x
# 2449;2;105;60;;x
# 2450;44;108;188;;x
# 2451;86;111;61;;x
# 2452;128;114;189;;x
# 2453;170;117;62;;x
# 2454;2;120;190;;x
# 2455;44;123;63;;x
# 2456;86;126;191;;x
# 2457;128;129;64;;x
# 2458;170;132;192;;x
# 2459;2;135;65;;x
# 2460;44;138;193;;x
# 2461;86;141;66;;x
# 2462;128;144;194;;x
# 2463;170;147;67;;x
# 2464;2;150;195;;x
# 2465;44;153;68;;x
# 2466;86;156;196;;x
# 2467;128;159;69;;x
# 2468;170;162;197;;x
# 2469;2;165;70;;x
# 2470;44;168;198;;x
# 2471;86;171;71;;x
# 2472;128;174;199;;x
# 2473;170;177;72;;x
# 2474;2;180;200;;x
# 2475;44;183;73;;x
# 2476;86;186;201;;x
# 2477;128;189;74;;x
# 2478;170;192;202;;x
# 2479;2;195;75;;x
# 2480;44;198;203;;x
# 2481;86;201;76;;x
# 2482;128;204;204;;x
# 2483;170;207;77;;x
# 2484;2;210;205;;x
# 2485;44;0;78;;x
# 2486;86;3;206;;x
# 2487;128;6;79;;x
# 2488;170;9;207;;x
# 2489;2;12;80;;x
# 2490;44;15;208;;x
# 2491;86;18;81;;x
# 2492;128;21;209;;x
# 2493;170;24;82;;x
# 2494;2;27;210;;x
# 2495;44;30;83;;x
# 2496;86;33;211;;x
# 2497;128;36;84;;x
# 2498;170;39;212;;x
# 2499;2;42;85;;x
# 2500;44;45;213;;x
# 2501;86;48;86;;x
# 2502;128;51;214;;x
# 2503;170;54;87;;x
# 2504;2;57;215;;x
# 2505;44;60;88;;x
# 2506;86;63;216;;x
# 2507;128;66;89;;x
# 2508;170;69;217;;x
# 2509;2;72;90;;x
# 2510;44;75;218;;x
# 2511;86;78;91;;x
# 2512;128;81;219;;x
# 2513;170;84;92;;x
# 2514;2;87;220;;x
# 2515;44;90;93;;x
# 2516;86;93;221;;x
# 2517;128;96;94;;x
# 2518;170;99;222;;x
# 2519;2;102;95;;x
# 2520;44;105;223;;x
# 2521;86;108;96;;x
# 2522;128;111;224;;x
# 2523;170;114;97;;x
# 2524;2;117;225;;x
# 2525;44;120;98;;x
# 2526;86;123;226;;x
# 2527;128;126;99;;x
# 2528;170;129;227;;x
# 2529;2;132;0;;x
# 2530;44;135;128;;x
# 2531;86;138;1;;x
# 2532;128;141;129;;x
# 2533;170;144;2;;x
# 2534;2;147;130;;x
# 2535;44;150;3;;x
# 2536;86;153;131;;x
# 2537;128;156;4;;x
# 2538;170;159;132;;x
# 2539;2;162;5;;x
# 2540;44;165;133;;x
# 2541;86;168;6;;x
# 2542;128;171;134;;x
# 2543;170;174;7;;x
# 2544;2;177;135;;x
# 2545;44;180;8;;x
# 2546;86;183;136;;x
# 2547;128;186;9;;x
# 2548;170;189;137;;x
# 2549;2;192;10;;x
# 2550;44;195;138;;x
# 2551;86;198;11;;x
# 2552;128;201;139;;x
# 2553;170;204;12;;x
# 2554;2;207;140;;x
# 2555;44;210;13;;x
# 2556;86;0;141;;x
# 2557;128;3;14;;x
# 2558;170;6;142;;x
# 2559;2;9;15;;x
# 2560;44;12;143;;x
# 2561;86;15;16;;x
# 2562;128;18;144;;x
# 2563;170;21;17;;x
# 2564;2;24;145;;x
# 2565;44;27;18;;x
# 2566;86;30;146;;x
# 2567;128;33;19;;x
# 2568;170;36;147;;x
# 2569;2;39;20;;x
# 2570;44;42;148;;x
# 2571;86;45;21;;x
# 2572;128;48;149;;x
# 2573;170;51;22;;x
# 2574;2;54;150;;x
# 2575;44;57;23;;x
# 2576;86;60;151;;x
# 2577;128;63;24;;x
# 2578;170;66;152;;x
# 2579;2;69;25;;x
# 2580;44;72;153;;x
# 2581;86;75;26;;x
# 2582;128;78;154;;x
# 2583;170;81;27;;x
# 2584;2;84;155;;x
# 2585;44;87;28;;x
# 2586;86;90;156;;x
# 2587;128;93;29;;x
# 2588;170;96;157;;x
# 2589;2;99;30;;x
# 2590;44;102;158;;x
