#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#text1.csv replacements
ALLOW_REVOKATION_ON;Revocation of titles Allowed\n;Annulation des titres autorisée;Entzug gewährter Titel gestattet;;Revocación de títulos permitida;;;;;;;;;x
EVTOPTB_SoA_5028;Save yourself and let others handle it.;Mettons-nous en sécurité et laissons-les s'occuper du problème.;Bringt Euch in Sicherheit und überlasst das Löschen anderen.;;Salvarte a ti mismo y dejar que los demás se encarguen.;;;;;;;;;x
EVTDESC_SoA_5029;They said this was a lawless stretch of road, but you still feel rather unlucky to be in this situation. The robbers are many and armed, and they demand that you pay a 'toll' before you are allowed to pass.;On vous avait bien dit que cette route était dangereuse, mais vous estimez néanmoins jouer de malchance. Les voleurs sont nombreux et armés, et ils vous demandent de vous acquitter d'un droit de passage.;Ihr wusstet, dass diese Straße gefährlich sein soll, dennoch fühlt Ihr Euch jetzt vom Glück verlassen. Ihr seid von bewaffneten Räubern umzingelt und die verlangen Wegezoll, bevor Ihr weitergehen dürft. ;;"Te dijeron que era un tramo de carretera sin ley, pero aun así crees que has tenido bastante mala suerte de verte en esta situación. Los ladrones son muchos y van armados. Te exigen que les pagues un ""peaje"" para continuar el camino.";;;;;;;;;x
EVTOPTA_SoA_5029;Pay up.;Payons !;Bezahlt sie.;;Pagar.;;;;;;;;;x
EVTOPTB_SoA_5029;Give these scoundrels the only thing they deserve – steel!;Donnons à ces vermines la seule chose qu'ils méritent : l'acier !;Gebt den Schurken das, was sie verdient haben - kalten Stahl!;;Darles a estos sinvergüenzas lo único que se merecen: ¡acero!;;;;;;;;;x
EVTDESC_SoA_5030;The old wooden bridge has carried many pilgrims in its day. It creaks suspiciously as you step on it.;Le vieux pont de bois a vu passer de nombreux pèlerins jusqu'à aujourd'hui. Mais lorsque vous posez le pied dessus, il émet un craquement inquiétant.;Über die alte Holzbrücke sind schon viele Pilger gezogen. Beim Betreten knarzt sie verdächtig.;;El viejo puente de madera ha soportado ya a numerosos peregrinos. A medida que caminas sobre él, cruje de forma sospechosa.;;;;;;;;;x
EVTOPTA_SoA_5030;No time to stop, I'm sure it'll hold.;Pas le temps de nous arrêter, il tiendra bien !;Jetzt nicht stehenbleiben, sie wird sicher halten.;;No hay tiempo para detenerse, estoy seguro de que aguantará.;;;;;;;;;x
EVTOPTB_SoA_5030;Stop and help repair it.;Arrêtons-nous et réparons-le.;Haltet an und helft bei der Reparatur.;;Detenerme y ayudar a repararlo.;;;;;;;;;x
EVTOPTC_SoA_5030;These people deserve a stone bridge. I shall pay for it.;Ces gens méritent un pont de pierre. Je paierai pour sa construction.;Diese Leute haben eine Brücke aus Stein verdient. Ich bezahle sie.;;Estas personas se merecen un puente de piedra. Lo pagaré.;;;;;;;;;x
EVTDESC_SoA_5031;You lay awake at night reflecting on your pilgrimage. It's an inner journey as well as a physical one, but can you be sure of which destination it will take you to? And do you even want to have that certainty?;Allongé cette nuit-là, vous réfléchissez à votre pèlerinage. C'est un voyage dans le monde, mais aussi un voyage intérieur. Mais en connaissez-vous la destination avec certitude ? Cette certitude vous importe-t-elle ?;Ihr liegt nachts wach und denkt über Eure Pilgerreise nach. Es ist eine seelische Wallfahrt ebenso wie eine körperliche, aber wisst Ihr wirklich, wohin diese Reise letztlich führt? Und wollt Ihr so genau wissen? ;;Te despiertas en mitad de la noche reflexionando sobre la peregrinación. Es un viaje interior, además de físico, pero ¿estás seguro del destino al que te llevará? ¿Acaso quieres saberlo?;;;;;;;;;x
EVTOPTA_SoA_5031;The mind wanders where it will.;L'esprit va où il veut.;Der Geist wandert, wohin er will.;;La mente se pierde por derroteros desconocidos.;;;;;;;;;x
EVTOPTB_SoA_5031;It's all right there on the map. Time to get some sleep!;Oui, tout est indiqué sur la carte. Allons, il est temps de dormir !;Auf der Karte scheint alles klar. Zeit, eine Mütze Schlaf zu bekommen.;;Está todo ahí, en los mapas. ¡Es hora de dormir un poco!;;;;;;;;;x
EVTDESC_SoA_5032;Travelling down a long and lonesome road, you come upon a man lying in a ditch. He seems to have been robbed and beaten up quite badly.;Alors que vous empruntez une longue route désolée, vous croisez un homme allongé sur le bas-côté. Il semble avoir été volé et battu fort cruellement.;Ihr seid auf einer langen, einsamen Straße unterwegs. Plötzlich liegt vor Euch ein Mann im Straßengraben. Er ist offenbar ausgeraubt und übel zusammengeschlagen worden. ;;Viajando por un camino largo y solitario, te encuentra con un hombre tirado en la cuneta. Parece que le han robado y golpeado terriblemente.;;;;;;;;;x
EVTOPTA_SoA_5032;Bind up his wounds, help him to an inn and pay for his recovery.;Soignons ses blessures, accompagnons-le à l'auberge et payons pour sa guérison.;Ihr verbindet seine Wunden, schafft ihn in eine Herberge und bezahlt für seine Pflege.;;Vendas sus heridas, le llevas hasta una posada y pagas por sus cuidados.;;;;;;;;;x
EVTOPTB_SoA_5032;Leave him, he's probably dead anyway.;Laissons-le, il est sûrement déjà mort.;Lasst ihn liegen, wahrscheinlich ist er ohnehin tot.;;Lo dejas, probablemente ya esté muerto.;;;;;;;;;x
EVTNAME_SoA_5033;The flood;L'inondation;Das Hochwasser;;La inundación;;;;;;;;;x
EVTDESC_SoA_5033;There have been strong rains in the area lately, and the valley that you need to cross has been transformed into a sizeable lake. The water is still rising, so you start to build a large raft in order to cross. When you're almost finished building it, a group of farmers show up and explain that they also need to cross the valley in order to get back to their homes. They bring with them a number of animals that they've rescued from the flood.;La région a connu de fortes pluies dernièrement et la vallée que vous devez traverser est désormais un grand lac. Les eaux montent toujours et vous commencez à construire un grand radeau afin de traverser. Alors que vous avez quasiment terminé, des paysans se présentent et vous expliquent qu'ils doivent eux aussi traverser la vallée pour rentrer chez eux. Ils ont avec eux un bon nombre d'animaux qu'ils ont sauvés de l'inondation.;Es hat in den letzten Tagen stark geregnet, und das Tal, das Ihr durchqueren müsst, hat sich in einen See verwandelt. Das Wasser steigt weiter, und Ihr fangt an, ein Floß zu bauen, um hinüber zu kommen. Als Ihr fast fertig seid, erscheinen ein paar Bauern und erklären, dass sie auch ans andere Ufer müssen, um nach Hause zu kommen. Sie haben Tiere bei sich, die sie vor den Fluten gerettet haben. ;;Ha habido fuertes lluvias en la zona últimamente y el valle que debes cruzar se ha transformado en un lago de tamaño considerable. Las aguas siguen creciendo, así que empiezas a construir una gran balsa para cruzar. Cuando ya casi la has terminado, aparece un grupo de granjeros diciendo que también tienen que cruzar el valle para poder regresar a su hogar. Con ellos llevan una serie de animales que han rescatado de la inundación.;;;;;;;;;x
EVTOPTA_SoA_5033;I'm not sharing my raft with anyone, man or beast.;Ce radeau n'est pour personne d'autre, homme ou animal.;Ich lasse niemanden auf mein Floß, weder Mensch noch Tier.;;No compartiré mi balsa con nadie, sea hombre o bestia.;;;;;;;;;x
EVTOPTB_SoA_5033;Bring the farmers with all their animals.;Les paysans et leurs animaux peuvent venir.;Bring die Bauern mit all ihren Tieren;;Dejas subir a los granjeros junto con los animales.;;;;;;;;;x
EVTOPTC_SoA_5033;Only let them bring the cats and dogs.;Les paysans ne pourront emmener que les chats et les chiens.;Sie sollen nur Hunde und Katzen mitnehmen.;;Solo dejas subir a gatos y perros.;;;;;;;;;x
EVTOPTA_SoA_5034;Share it around, it's more filling than it looks.;Partageons-les, c'est excellent pour soulager la faim.;Sie verteilen alles. Es ist mehr, als man glaubt.;;Lo compartes, hay más de lo que parece.;;;;;;;;;x
EVTOPTB_SoA_5034;Sorry, there's not enough for everyone.;Il n'y en a malheureusement pas assez pour tout le monde.;Tut mir leid, es reicht nicht für alle.;;Lo siento, no hay suficiente para todos.;;;;;;;;;x
EVTDESC_SoA_5035;You have spent the last fews days of your journey on water. The vessel you are travelling on rocks gently in the breeze, as the sailors go about their business. Being on board ship is quite unlike being on land – so much is different, so many strange words for all the things here. Starboard? Abaft? Aground? What does it all mean?;Vous avez passé ces derniers jours en mer. Le navire sur lequel vous voyagez balance doucement au gré du vent et les marins sont à l'ouvrage. Sur un bateau, les choses sont très différentes. Tant de mots étranges. Bâbord ? Poupe ? Échouer ? Quel étrange lexique...;Ihr habt die letzten paar Tage Eurer Reise auf einem Schiff verbracht. Es schaukelt sanft in der Brise, die Seeleute gehen ihrer Arbeit nach. An Bord eines Schiffes zu sein ist ganz anders als an Land - so viele fremde Dinge, so viele unbekannte Begriffe. Steuerbord? Achtern? Querab? Was bedeutet das alles? ;;Has pasado los últimos días del viaje en el mar. El barco en el que navegas se desplaza suavemente con la brisa, mientras los marineros se dedican a sus actividades. Estar a bordo es muy diferente a estar en tierra. Hay tantas palabras extrañas para llamar a las cosas. ¿Estribor? ¿Popa? ¿Varado? ¿Qué significa todo esto?;;;;;;;;;x
EVTOPTA_SoA_5035;This is fascinating. I must take the opportunity to learn.;C'est fascinant. Une excellente opportunité de découverte.;Faszinierend. Das muss ich lernen.;;Es fascinante. Tengo que aprovechar la ocasión para aprender.;;;;;;;;;x
EVTOPTB_SoA_5035;This does not concern me. I will spend my time in prayer.;Ces choses sont inutiles. Il vaut mieux passer son temps à prier.;Das geht mich nichts an. Ich werde in Ruhe beten.;;Esto no me concierne. Voy a dedicar mi tiempo a la oración.;;;;;;;;;x
EVTDESC_SoA_5036;As you stop to make camp near a river crossing along with other pilgrims, you observe a group of builders working on a new bridge just upstream. You walk up to them and see that the arches of the bridge are already half completed. The master builder notices your interest and walks up to you and offers to tell you about the construction techniques they are using.;Alors que vous faites halte près d'un gué en compagnie d'autres pèlerins, vous remarquez un groupe de bâtisseurs à l'œuvre sur un nouveau pont en amont. Vous vous rendez jusqu'à eux et constatez que les arches du pont sont déjà à moitié terminées. Le maître d'œuvre remarque votre intérêt et vous propose de vous expliquer les techniques de construction utilisées.;Ihr macht mit anderen Pilgern zusammen Rast an einer Flussquerung. Ein Stück stromaufwärts wird eine neue Brücke gebaut. Ihr geht zu den Arbeitern hin und seht, dass die Bögen schon halb fertig sind. Der Baumeister bemerkt Euer Interesse, kommt zu Euch und bietet an, die Bauweise zu erklären.  ;;Te paras a acampar cerca de un vado junto con otros peregrinos cuando observas a un grupo de obreros que trabajan en la construcción de un nuevo puente río arriba. Te aproximas y ves que los arcos del puente ya están medio terminados. El maestro de obras se percata de tu interés y se acerca a ti para hablarte sobre las técnicas de construcción que están utilizando.;;;;;;;;;x
EVTOPTA_SoA_5036;Yes, tell me more about this.;Bien sûr, dites-m'en davantage.;Interessant. Erzählt mir mehr darüber.;;Sí, cuéntame más sobre ello.;;;;;;;;;x
EVTOPTB_SoA_5036;Nobles build castles. This is for peasants.;Les nobles construisent des châteaux. Ce travail-là est bon pour les paysans.;Edelleute bauen Schlösser. Dies ist für Bauern. ;;Los nobles construyen castillos. Esto es para campesinos.;;;;;;;;;x
EVTDESC_SoA_5037;The journey is long and hard. Your feet are sore, and your back as well. Far from the castle kitchens the food is barely edible, and on top of that you seem to feel cold all the time. Perhaps you were not quite cut out for this pilgrimage thing?;Le voyage est long et rude. Vos pieds vous font mal et votre dos ne se porte guère mieux. Les cuisines de votre château sont bien loin et la nourriture ici est à peine comestible. De plus, vous avez constamment froid. Se pourrait-il que les pèlerinages ne soient pas votre fort ?;Die Reise ist lang und anstrengend. Füße und Rücken schmerzen furchtbar. Abseits der Schlossküchen ist das Essen kaum genießbar und außerdem ist Euch ständig kalt. Vielleicht ist diese Pilgerreise doch nichts für Euch? ;;El viaje es largo y difícil. Te duele la espalda y los pies. Lejos de las cocinas del castillo, la comida apenas es comestible y, además, tienes un frío continuo. ¿Tal vez peregrinar no sea lo tuyo?;;;;;;;;;x
EVTOPTA_SoA_5037;My faith will see me through.;Ma foi m'aidera.;Mein Glaube bringt mich ans Ziel.;;La fe me guiará.;;;;;;;;;x
EVTOPTB_SoA_5037;Maybe this was a bad idea. I'll stay and rest for a while.;C'était peut-être une mauvaise idée. Je vais me reposer ici quelque temps.;Das war vielleicht doch keine gute Idee. Ich bleibe hier eine Weile und ruhe mich aus.;;Puede que no fuera buena idea. Me quedaré aquí a descansar un poco.;;;;;;;;;x
EVTDESC_SoA_5038;As you pass through a small village along the pilgrim's path, an old woman comes up to you. She has recognized you as a pilgrim and explains that her daughter and her family live close to your destination. They are suffering hard times and she asks you to bring them a large purse of money.;Alors que vous traversez un petit village sur votre route, une vieille femme s'approche de vous. Elle a reconnu en vous le pèlerin et vous explique que sa fille et sa famille vivent non loin de votre destination. Les temps sont durs pour eux et elle vous demande de leur apporter une bourse remplie de pièces.;Auf dem Pilgerpfand geht Ihr durch ein kleines Dorf. Eine alte Frau kommt auf Euch zu. Sie hat Euch als Pilger erkannt und erklärt, dass ihre Tochter und Familie nahe an Eurem Ziel wohnt. Die Familie ist arm, und die Frau bittet Euch, ihr eine Geldbörse mit einem größeren Betrag zu überbringen;;Al atravesar una pequeña aldea en el camino de peregrinación, se te acerca una anciana. Te ha identificado como peregrino y te explica que su hija y su familia viven cerca de tu destino. Están pasando tiempos difíciles, por lo que te pide que les lleves una gran cartera con dinero.;;;;;;;;;x
EVTOPTA_SoA_5038;Of course I will help you.;Bien sûr, je vous rendrai ce service.;Natürlich helfe ich euch.;;Por supuesto que la ayudaré.;;;;;;;;;x
EVTOPTB_SoA_5038;Of course I will help you (secretly add some money of your own).;Bien sûr, je vous rendrai ce service (et vous y ajoutez un peu d'argent de votre poche).;Natürlich helfe ich euch (und lege heimlich von meinem Geld etwas drauf).;;Por supuesto que la ayudaré (y a escondidas añades algo más de dinero tuyo).;;;;;;;;;x
EVTOPTC_SoA_5038;Of course I will help you (lie and keep the money for yourself).;Bien sûr, je vous rendrai ce service (mentir et garder l'argent pour vous).;Natürlich helfe ich euch (und behalte das Geld).;;Por supuesto que la ayudaré (mientes y te quedas tú con el dinero).;;;;;;;;;x
EVTOPTD_SoA_5038;This is not my business, old crone.;Ce ne sont pas mes affaires, vieille femme.;Damit habe ich nichts zu schaffen, Alte.;;Esto no es asunto mío, vieja bruja.;;;;;;;;;x
EVTDESC_SoA_5039;There is a star shining unusually bright in the clear sky. You see it every night, and its position coincides more or less with the direction to the destination of your pilgrimage.;Vous remarquez une étoile exceptionnellement brillante dans le ciel dégagé. Vous la voyez toutes les nuits et sa position correspond plus ou moins au but de votre pèlerinage.;Ein Stern leuchtet ungewöhnlich hell am klaren Himmel. Ihr seht ihn jede Nacht, etwa in  der Richtung, in  der auch Euer Pilgerziel liegt. ;;Una estrella brilla con un resplandor especial en el cielo despejado. La ves cada noche, y su posición coincide más o menos con la dirección en la cual peregrinas.;;;;;;;;;x
EVTOPTA_SoA_5039;The Lord is showing me the way.;Le Seigneur me montre le chemin.;Der Herr weist mir den Weg.;;El Señor me está mostrando el camino.;;;;;;;;;x
EVTOPTB_SoA_5039;It's a bright star, so what?;C'est une étoile, elle brille, et alors ?;Ein heller Stern, na und?;;Es una estrella fulgurante, ¿y qué?;;;;;;;;;x
EVTNAME_SoA_5045;Riders approach...;Des cavaliers approchent...;Reiter nähern sich...;;Se acercan jinetes...;;;;;;;;;x
EVTDESC_SoA_5045;Thundering hooves are heard down the road. The pilgrims look with apprehension at the rising dust cloud. As the riders close, steel armour and steel-tipped lances reflect the bright sunlight. The tension rises, but then a collective sigh of relief is heard as the banner of the holy knights is seen flying above the mass of armored men. The knights halt before the pilgrims and graciously offer to accompany you on the road.;Vous entendez le bruit de sabots plus loin sur la route. Les pèlerins observent avec appréhension les nuages de poussière qui s'élèvent dans le ciel. Alors que les cavaliers se rapprochent, vous voyez le soleil se refléter sur leurs armures et sur leurs lances acérées. La tension monte mais retombe soudain lorsque vous voyez la bannière des chevaliers saints flottant au-dessus du groupe d'hommes en armures. Les chevaliers s'arrêtent devant les pèlerins et vous proposent gracieusement de vous accompagner sur la route.;Der Donner von Hufen dröhnt über die Straße. Die Pilger blicken angespannt auf die sich nähernde Staubwolke. Als die Reiter zu erkennen sind, blitzt die Sonne auf Rüstungen und  stählernen Lanzenspitzen. Die Spannung steigt und löst sich schließlich in Erleichterung auf, als über den Rüstungen die Fahne der Heiligen Ritter zu erkennen ist. Die Reiter machen Halt und bieten an, die Pilger ein Stück zu begleiten. ;;Se oyen cascos que resuenan en la distancia. Los peregrinos miran con aprensión la creciente nube de polvo. A medida que se acercan los jinetes, sus armaduras de acero y sus lanzas con punta de metal reflejan la brillante luz del sol. Aumenta la tensión y luego se escucha un suspiro colectivo de alivio. Sobre la masa de hombres armados se distingue el estandarte de los santos caballeros. Los jinetes se detienen ante los peregrinos y se ofrecen con gentileza a acompañarte en el camino.;;;;;;;;;x
EVTOPTA_SoA_5045;Praised be [Root.Religion.GetRandomGodName]! A most welcome escort!;Loué soit [Root.Religion.GetRandomGodName] ! Cette escorte est fort à propos !;Gepriesen sei [Root.Religion.GetRandomGodName]! Eine hocherfreuliche Eskorte!;;¡Alabado sea [Root.Religion.GetRandomGodName]! ¡Una escolta muy bienvenida!;;;;;;;;;x
EVTOPTB_SoA_5045;Never trust armed men who appear out of nowhere.;Il ne faut jamais faire confiance à des hommes armés qui jaillissent de nulle part.;Traue niemals bewaffneten Männern, die aus dem Nichts auftauchen.;;Nunca te fíes de los hombres armados que aparecen de la nada.;;;;;;;;;x
EVTDESC_SoA_5046;As the evening approaches after a long day on the road, you come upon several campfires. Around the fires you find a group of holy knights, resting after a long day's ride. They invite you to share their meal and trade stories.;Alors que le soir tombe après une longue journée de route, vous remarquez plusieurs feux de camps. Autour d'eux, des chevaliers saints qui se reposent après une longue journée à cheval. Ils vous invitent à partager leur repas et à entamer la discussion.;Am Abend eines langen  Tages auf dem Pilgerpfad gelangt Ihr zu mehreren Lagerfeuern. An den Feuern lagern Heilige Ritter, die sich von ihrem Ritt ausruhen. Sie laden Euch zum Essen ein  und zum Geschichtenaustausch.  ;;Cuando cae la noche tras un largo día de camino, te encuentras con varias fogatas. Alrededor de las hogueras ves a un grupo de santos caballeros, que descansan de su viaje. Te invitan a compartir su comida y a contar historias.;;;;;;;;;x
EVTOPTA_SoA_5046;Discuss theology with the knights.;Discutons théologie avec les chevaliers.;Sie führen mit den Rittern einen theologischen Diskurs. ;;Hablas con los caballeros sobre teología.;;;;;;;;;x
EVTOPTB_SoA_5046;Trade stories of war.;Parlons plutôt d'anecdotes guerrières.;Sie tauschen Geschichten vom Krieg aus.;;Cuentas historias de guerra.;;;;;;;;;x
EVTDESC_SoA_5047;During the last couple of days, you have made company on the road with a holy knight on his way to the same destination. You have lively and interesting conversations, and you find that you have many things in common.;Pendant les deux jours précédents, vous avez voyagé avec un chevalier saint qui se rendait à la même destination que vous. Vous avez eu avec lui des discussions stimulantes et intéressantes, et vous constatez que vous avez de nombreuses choses en commun.;Die letzten paar Tage wart Ihr mit einem Heiligen Ritter gemeinsam unterwegs zum gleichen Ziel. Ihr führt lebhafte und anregende Gespräche und stellt fest, dass Ihr vieles mit ihm gemein haben. ;;Durante los últimos días, has hecho camino junto a un santo caballero que viaja hacia el mismo destino. Con él mantienes conversaciones animadas e interesantes, y descubres que ambos tenéis muchas cosas en común.;;;;;;;;;x
EVTOPTA_SoA_5047;How unexpected, to make a new friend this far from home.;Se faire un nouvel ami si loin de chez soi, c'est vraiment inattendu.;Wie schön, so fern der Heimat einen Freund zu finden.;;Qué sorpresa, hacer un nuevo amigo tan lejos de casa.;;;;;;;;;x
EVTOPTB_SoA_5047;I have no need for friends.;Je n'ai pas besoin d'amis.;Ich brauche keine neuen Freunde;;No necesito amigos.;;;;;;;;;x
EVTDESC_SoA_5087;You have made friends with [From.GetTitledName].;Vous vous liez d'amitié avec [From.GetTitledName].;Sie haben also mit [From.GetTitledName] Freundschaft geschlossen.;;Has entablado amistad con [From.GetTitledName].;;;;;;;;;x
EVTOPTA_SoA_5087;Great!;Excellent !;Großartig!;;¡Fantástico!;;;;;;;;;x
EVTNAME_SoA_5050;Canterbury;Canterbury;Canterbury;;Canterbury;;;;;;;;;x
EVTDESC_SoA_5050;You have finally arrived at Canterbury! It is beautifully situated on the river Stour in Kent in southeast England. The town itself and the surrounding meadows are full of pilgrims from all over Europe. You start to make your way through the hustle and bustle, eager to see the famous cathedral and contemplate the tomb of the martyr Thomas Becket, who was viciously murdered inside the cathedral itself.;Vous voici enfin à Canterbury ! Une belle cité sur le fleuve Stour dans le Kent, dans le sud-est de l'Angleterre. La ville elle-même et les plaines environnantes sont pleines de pèlerins venus de toute l'Europe. Vous vous frayez un chemin à travers la foule, désireux de voir la célèbre cathédrale et de vous recueillir devant le tombeau du martyr Thomas Becket, cruellement assassiné dans la cathédrale.;Endlich erreicht Ihr Canterbury! Der Ort, der in schönster Gegend am Fluss Stour in Kent im Südosten Englands gelegen ist, erlebt gerade einen Ansturm von Pilgern aus allen Teilen Europas. Ihr stürzt Euch ins Gedränge und nehmt Kurs auf die berühmte Kathedrale sowie auf das Grab des Märtyrers Thomas Becket, der im Inneren der Kathedrale heimtückisch ermordet wurde.;;¡Por fin habéis llegado a Canterbury! Os encontráis en un enclave precioso, el río Stour, en Kent, en el sudeste de Inglaterra. La propia ciudad y los prados que la rodean están llenos de peregrinos procedentes de toda Europa. Emprendéis vuestro camino a través del vaivén, deseando ver la famosa catedral y contemplar la tumba del mártir Tomás Becket, brutalmente asesinado dentro de la propia catedral.;;;;;;;;;x
EVTOPTA_SoA_5050;A green and pleasant land!;Quel bel endroit verdoyant !;Ein grünes und freundliches Fleckchen!;;¡Una tierra verde y agradable!;;;;;;;;;x
EVTNAME_SoA_5051;Jerusalem;Jérusalem;Jerusalem;;Jerusalén;;;;;;;;;x
EVTDESC_SoA_5051;You have finally arrived at Jerusalem! Passing by the Mount of Olives, you enter through the city gate and are immediately overcome by a feeling of having made a truly epic journey. The city is filled with people of all creeds and colors, the air heavy with smells of strange spices and foreign plants. You make your way through the throng of people and animals, excited by the knowledge that you are now close to the Via Dolorosa and the other holy places. You plan to also visit the Church of the Nativity in Bethlehem, but first of all you need to find someplace to stay. After all, you wouldn't want to be forced to sleep in a stable, would you?;Vous voici enfin à Jérusalem ! Après le mont des Oliviers, vous passez la porte de la ville et immédiatement la sensation vous envahit : vous venez d'accomplir un voyage épique. La ville est remplie de gens de toutes religions et de toutes origines, l'air est chargé d'odeurs d'épices étranges et de plantes inconnues. Vous vous frayez un chemin à travers la foule et les animaux, enthousiaste à l'idée que vous êtes si proche de la Via Dolorosa et des autres lieux saints. Vous projetez également de visiter l'église de la Nativité à Bethléem, mais tout d'abord il vous faut trouver un endroit où vous reposer. Vous ne voudriez quand même pas dormir dans une étable !;Endlich erreicht Ihr Jerusalem! Als Ihr, den Ölberg hinter Euch lassend, das Stadttor durchschreitet, wird Euch schlagartig bewusst, welch herausragende Bedeutung diese Reise für Euch haben wird. Die Stadt bietet ein buntes Bild aus Menschen der verschiedensten Konfessionen und Hautfarben und die Luft ist erfüllt vom Aroma fremdartiger Gewürze und exotischer Pflanzen. Ihr bahnt Euch einen Weg durch das Gedränge und das Gefühl, der Via Dolorosa und anderen heiligen Orten so nahe zu sein, erfüllt Euch mit gespannter Aufmerksamkeit. Auch nach Bethlehem, zur Geburtsstätte Jesu, wollt Ihr Euch in naher Zukunft aufmachen, doch zuerst benötigt Ihr eine Unterkunft. Denn in einem Stall schlafen, das möchtet Ihr sicherlich nicht, oder?;;¡Por fin habéis llegado a Jerusalén! Pasando el Monte de los Olivos, atravesáis la puerta de la ciudad e inmediatamente os invade el sentimiento de haber realizado un viaje realmente épico. La ciudad está llena de gente de todos los credos y colores, y el aire está cargado de olores de especias y plantas extrañas. Os abrís camino entre la muchedumbre de personas y animales, entusiasmado sabiéndoos cerca de la Vía Dolorosa y otros lugares sagrados. También habéis previsto visitar la Basílica de la Natividad en Belén, pero antes tenéis que encontrar un sitio donde alojaros. Después de todo, no querréis acabar durmiendo en un establo, ¿verdad?;;;;;;;;;x
EVTOPTA_SoA_5051;O Jerusalem, Jerusalem!;Ô Jérusalem, Jérusalem !;Oh, Jerusalem! Jerusalem!;;¡Oh Jerusalén, Jerusalén!;;;;;;;;;x
EVTNAME_SoA_5052;Cologne;Cologne;Köln;;Colonia;;;;;;;;;x
EVTDESC_SoA_5052;You have finally arrived at Cologne! The mighty cathedral housing the relics of the Three Kings is still under construction, but it is an impressive structure nonetheless. The city itself lies on the mighty river Rhine, and busy commerce mingles with the flow of pilgrims.;Vous voici enfin à Cologne ! La grande cathédrale qui abrite les reliques des trois rois mages est encore en construction, mais ce n'en est pas moins une structure impressionnante. La ville elle-même est construite sur le Rhin et une importante activité commerciale se mêle au flot des pèlerins.;Endlich erreicht Ihr Köln! Auch wenn die Arbeiten am mächtigen Dom, in dem sich die Reliquien der Hl. Drei Könige befinden, noch andauern, bietet sich Euch ein beeindruckendes Bild des imposanten Bauwerks. Die Straßen der Metropole am Rhein werden belebt vom geschäftigen Treiben der Pilger und Händler.;;¡Por fin habéis llegado a Colonia! La inmensa catedral que alberga las reliquias de los Reyes Magos sigue en construcción, pero no por ello deja de ser una estructura impresionante. La propia ciudad se encuentra en el enorme río Rin y el ajetreado comercio se entremezcla con el flujo de peregrinos.;;;;;;;;;x
EVTOPTA_SoA_5052;I will pray at the Shrine of the Three Kings!;Allons prier au sanctuaire des rois mages !;Ich werde am Schrein der Heiligen Drei Könige beten!;;¡Rezaré en el sepulcro de los Reyes Magos!;;;;;;;;;x
EVTNAME_SoA_5053;Rome;Rome;Rom;;Roma;;;;;;;;;x
