VIET_awkward_encounter_public;Awkward Encounter in Public;Rencontre maladroite en public;;;;;;;;;;;;x
VIET_learning_local_lore_desc;This character has been learning a thing or two about the local legends, myths, customs, beliefs, and so on of the people living nearby.;Ce personnage a beaucoup appris sur les légendes locales, les mythes, les coutumes, les croyances, etc. des personnes vivant à proximité.;;;;;;;;;;;;x
VIET_secret_relax_spot;Secret Relaxation Spot;Lieu de détente secret;;;;;;;;;;;;x
VIET_secret_relax_spot_desc;This character recently found a place just for themselves, a private secluded location where they can peacefuly rest by themselves, without worrying about the rest of the world.;Ce personnage a récemment trouvé une place pour lui seul, un lieu privé isolé où il peut se reposer paisiblement, sans se soucier du reste du monde.;;;;;;;;;;;;x
VIET_opinion_showed_secret_relax_spot;Showed Me a Wonderful Place to Relax;M'a montré un endroit merveilleux pour se détendre;;;;;;;;;;;;x
VIET_opinion_showed_secret_relax_spot_lover;Showed Me a Wonderful Place to Relax;M'a montré un endroit merveilleux pour se détendre;;;;;;;;;;;;x
VIET_secret_relax_spot_sexy;Secret Place to Meet with Lover;Lieu secret pour rencontrer un amant;;;;;;;;;;;;x
VIET_secret_relax_spot_sexy_desc;No one knows where this person goes when they want some alone time with their lover(s), but rumor has it that it is a very nice, lovely, intimate place.;Personne ne sait où cette personne se rend quand elle veut passer du temps en tête-à-tête avec son ou ses amants, mais la rumeur dit que c'est un endroit très agréable, charmant et intime.;;;;;;;;;;;;x
VIET_fun_in_the_sun;Fun in the Sun;S'amuser au soleil;;;;;;;;;;;;x
VIET_fun_in_the_sun_desc;Visiting the beach and having a good time - it was definitely worth it to this character!;Visiter la plage et passer un bon moment - ça en valait vraiment la peine !;;;;;;;;;;;;x
VIET_opinion_beach_trip;Went on Beach Trip Together;Sont allés ensemble à la plage;;;;;;;;;;;;x
VIET_province_youth_prank;Hysteria Caused by Recent Prank;Hystérie causée par une récente blague;;;;;;;;;;;;x
VIET_province_youth_prank_desc;For a number months, a band of reckless, boorish youths played a prank in one of the towns of this region, pretending to be the voices and sounds of demonic forces. They have thankfully been caught, but rumors of this incident does not reflect well on the inhabitants of this area.;Pendant plusieurs mois, un groupe de jeunes téméraires et grossiers a joué un tour dans l'une des villes de cette région, prétendant être la voix et le son des forces démoniaques. Ils ont heureusement été attrapés, mais les rumeurs sur cet incident ne sont pas favorables aux habitants de cette région.;;;;;;;;;;;;x
VIET_province_shadow_hysteria;Reports of Shadow People;Rapports d'ombres;;;;;;;;;;;;x
VIET_province_shadow_hysteria_desc;Villagers reported seeing humanoid shadows appearing at night, trying to kill those who are unsuspecting and sleeping. Many wiser and more level-headed persons believe this is just a case of mass hysteria.;Les villageois ont signalé avoir vu des ombres humanoïdes apparaître la nuit, essayant de tuer ceux qui n'étaient pas vigilent et qui dormaient. Beaucoup de personnes plus sages et pondérées pensent qu'il ne s'agit que d'une hystérie de masse.;;;;;;;;;;;;x
VIET_province_night_ghosts_disappear;No More Ghosts;Plus de fantômes;;;;;;;;;;;;x
VIET_province_night_ghosts_disappear_desc;Ghosts supposedly used to haunt an area of this region, though some doubted the truth of this. Either way, it seems the reports of ghostly beings have suddenly stopped, and some fear the ghosts have disappeared due to some nefarious reason.;Les fantômes étaient censés hanter une zone de cette région, bien que certains doutaient de la vérité. Quoi qu'il en soit, il semble que les rapports sur les êtres fantomatiques se soient soudainement arrêtés et certains craignent que les fantômes aient disparu pour une raison néfaste.;;;;;;;;;;;;x
VIET_province_succubus_night_paralysis;Succubus Attack;Attaque de la succube;;;;;;;;;;;;x
VIET_province_succubus_night_paralysis_desc;They say a bewitchingly beautiful creature - a demon, most likely - attacks the people in this region in their sleep, forcing them to copulate with her in the most sinful ways possible. There are scholars who believe this can be explained through natural philosophy as bizarre dreams, but many disagree.;Ils disent qu'une créature d'une beauté fascinante - un démon, très probablement - attaque les gens de cette région pendant leur sommeil, les forçant à copuler avec elle de la manière la plus pécheresse possible. Il y a des érudits qui croient que cela peut être expliqué par la philosophie naturelle en tant que rêves bizarres, mais beaucoup sont en désaccord.;;;;;;;;;;;;x
VIET_valerian_herb;Valerian Herbal Tea;Tisane à la valériane;;;;;;;;;;;;x
VIET_valerian_herb_desc;Ever since the days of the ancient Greeks and Romans, the herb valerian has been given to those who are suffering from insomnia or difficulty falling asleep.;Depuis l'époque des Grecs et des Romains, l'herbe valériane était donnée à ceux qui souffraient d'insomnie ou de difficultés à s'endormir.;;;;;;;;;;;;x
VIET_no_empathy;Lack of Empathy;Manque d'empathie;;;;;;;;;;;;x
VIET_mummys_curse;Mummy's Curse;La malédiction d'une momie;;;;;;;;;;;;x
VIET_mummys_curse_desc;This character claims they were cursed when they encountered a mummy and insulted it. Most people believe this is just merely an excuse for some of this character's bad luck.;Ce personnage prétend qu'il a été maudits quand il a rencontré une momie et qu'il l'a insulté. La plupart des gens pensent que c'est simplement une excuse pour la malchance de ce personnage.;;;;;;;;;;;;x
VIET_mummys_blessing;Mummy's Blessing;La bénédiction d'une momie;;;;;;;;;;;;x
VIET_mummys_blessing_desc;This character claims they were blessed when they encountered a mummy and treated it respectfully. Most people believe this is just merely an explanation for some of this character's good luck.;Ce personnage prétend qu'ils a été béni lorsqu'il a rencontré une momie et l'a traitée avec respect. La plupart des gens pensent que c'est simplement une explication de la chance de ce personnage.;;;;;;;;;;;;x
VIET_clumsy_maid_special;Clumsy Maid;Femme de chambre maladroite;;;;;;;;;;;;x
VIET_clumsy_maid_special_desc;This lady was originally a good, clever, and talented maid, albeit one cursed with some clumsiness. However, at least when she was a maid, most felt that she had a most agreeable and likeable personality.;Cette dame était à l'origine une bonne, intelligente et talentueuse femme de chambre, même si elle était maudite avec une maladresse. Cependant, au moins quand elle était femme de chambre, la plupart estimaient qu'elle était une personnalité des plus agréables et des plus sympathiques.;;;;;;;;;;;;x
VIET_opinion_spared_me_punishment;Spared Me Punishment;M'a épargné la punition;;;;;;;;;;;;x
VIET_opinion_lustful_punishment;Blackmailed to be Lover;Chantage pour être amoureux;;;;;;;;;;;;x
VIET_opinion_very_disappointed;Very Disappointed;Très déçu;;;;;;;;;;;;x
VIET_opinion_failed_liege;Failed liege;Échec seigneur;;;;;;;;;;;;x
VIET_recent_important_business_deal;Recent Business Deal;Affaire récente;;;;;;;;;;;;x
VIET_recent_important_business_deal_desc;This character recently managed to conclude negotiations with some local merchants that resulted in a beneficial outcome for both parties.;Ce personnage a récemment réussi à conclure des négociations avec certains marchands locaux, ce qui a eu un résultat bénéfique pour les deux parties.;;;;;;;;;;;;x
VIET_learning_about_history;Learning About History;Apprendre de l'Histoire;;;;;;;;;;;;x
VIET_learning_about_history_desc;"History doesn't repeat itself, but it does rhyme.";"L'Histoire ne se répète pas, mais elle rime.";;;;;;;;;;;;x
VIET_unfinished_work;Unfinished Work;Travail inachevé;;;;;;;;;;;;x
VIET_unfinished_work_desc;This character's paperwork isn't going to finish itself.;Les papiers de ce personnage ne vont pas se finir tout seul.;;;;;;;;;;;;x
VIET_province_converted_mountain_ruins_temple;Mountain Ruins Converted to Inn with Shrine;Ruines de montagne converties en auberge avec sanctuaire;;;;;;;;;;;;x
VIET_province_converted_mountain_ruins_temple_desc;Well-known ruins in the mountainous region of this province have recently been converted into an inn that also features a sizeable house of worship.;Les ruines bien connues de la région montagneuse de cette province ont récemment été converties en une auberge qui abrite également un important lieu de culte.;;;;;;;;;;;;x
VIET_province_converted_mountain_ruins_inn;Mountain Ruins Converted to Large Inn;Ruines de montagne converties en grande auberge;;;;;;;;;;;;x
VIET_province_converted_mountain_ruins_inn_desc;Well-known ruins in the mountainous region of this province have recently been converted into a spacious inn with good facilities.;Les ruines bien connues de la région montagneuse de cette province ont récemment été converties en une auberge spacieuse dotée de bonnes installations.;;;;;;;;;;;;x
VIET_province_converted_mountain_ruins_outpost;Mountain Ruins Converted to Inn with Military Outpost;Ruines de montagne converties en auberge avec avant-poste militaire;;;;;;;;;;;;x
VIET_province_converted_mountain_ruins_outpost_desc;Well-known ruins in the mountainous region of this province have recently been converted into an inn that is protected by a military outpost.;Les ruines bien connues de la région montagneuse de cette province ont récemment été converties en une auberge protégée par un avant-poste militaire.;;;;;;;;;;;;x
VIET_jenassa_mercenary;Mysterious Woman Warrior;Guerrière mystérieuse;;;;;;;;;;;;x
VIET_jenassa_mercenary_desc;This woman began her career as a mercenary, traveling across the world to fight for the right price. An ominous, dangerous character, she is not to be trifled with.;Cette femme a commencé une carrière de mercenaire, parcourant le monde pour se battre au juste prix. Un personnage sinistre et dangereux, elle ne doit pas être négligée.;;;;;;;;;;;;x
VIET_mining_deal;Deal with Mine;Accord avec une mine;;;;;;;;;;;;x
VIET_mining_deal_desc;This character has negotiated a lucrative deal with a local mine owner.;Ce personnage a négocié un accord lucratif avec un propriétaire de mine local.;;;;;;;;;;;;x
VIET_mining_deal_big;Deal with Two Mines;Accord avec deux mines;;;;;;;;;;;;x
VIET_mining_deal_big_desc;This character has negotiated a lucrative deal with two local mine owners.;Ce personnage a négocié un accord lucratif avec deux propriétaires de mines locaux.;;;;;;;;;;;;x
VIET_lydia_modifier;Sarcastic Maid;Femme de chambre sarcastique;;;;;;;;;;;;x
VIET_lydia_modifier_desc;This lady was earlier in her life a mere maidservant, but her diligence, loyalty, and most of all, her infamous sarcasm, allowed her to be noticed by her superiors.;Cette dame était plus tôt dans sa vie une simple servante, mais sa diligence, sa loyauté et surtout son infâme sarcasme lui ont permis de se faire remarquer de ses supérieurs.;;;;;;;;;;;;x
VIET_opinion_sarcastic_lydia;Sarcastic Yet Loyal;Sarcastique pourtant loyal;;;;;;;;;;;;x
VIET_jon_battle_born_soldier;Was a Poetic Guardsman;Était un garde poétique;;;;;;;;;;;;x
VIET_jon_battle_born_soldier_desc;This character was originally a guardsman renowned for his friendly, righteous outlook on life and his skill as a poet before he was promoted.;Ce personnage était à l'origine un gardien réputé pour son regard droit et amical sur la vie et son habileté en tant que poète avant sa promotion.;;;;;;;;;;;;x
VIET_trader_joes_21_seasoning_salute;Twenty One Seasoning Mix;Vingt et un assaisonnements;;;;;;;;;;;;x
VIET_trader_joes_21_seasoning_salute_desc;This character possesses a stock of a particular blend of twenty-one different spices and herbs, ground and mixed to perfection. It is quite delicious and versatile, and can be used in a lot of different dishes.;Ce personnage possède un stock d'un mélange particulier de vingt et une épices et herbes différentes, moulues et mélangées à la perfection. C'est assez délicieux et polyvalent, et peut être utilisé dans beaucoup de plats différents.;;;;;;;;;;;;x
VIET_opinion_calmly_corrected_error;Calmly Corrected Me;M'a calmement corrigé;;;;;;;;;;;;x
VIET_opinion_garlic_breath;Garlic Breath;Haleine d'ail;;;;;;;;;;;;x
VIET_dhana_jiru;Cooks Using Dhana Jiru;Cuisiniers utilisant du Dhana Jiru;;;;;;;;;;;;x
VIET_dhana_jiru_desc;Dhana Jiru is a traditional spice mix from Western India. Its two main ingredients are cumin and coriander.;Le Dhana Jiru est un mélange d'épices traditionnel de l'Inde occidentale. Ses deux principaux ingrédients sont le cumin et la coriandre.;;;;;;;;;;;;x
VIET_refreshing_drink;Refreshing Drink;Boisson rafraîchissante;;;;;;;;;;;;x
VIET_romantic_saffron_bath;Romantic Saffron Bath;Bain romantique au safran;;;;;;;;;;;;x
VIET_saffron_bath;Saffron Bath;Bain au safran;;;;;;;;;;;;x
VIET_saffron_bath_desc;They say that saffron baths are one of the best aphrodisiacs out there - if, that is, you or your lover can afford it. It is said that Pharaoh Cleopatra herself used them frequently.;Ils disent que les bains au safran sont l'un des meilleurs aphrodisiaques du monde - si, c'est-à-dire si vous ou votre partenaire pouvez vous le permettre. On dit que Cléopâtre elle-même les utilisait fréquemment.;;;;;;;;;;;;x
VIET_helped_acquaintance;Helped Acquaintance with a Problem;A aidé à la connaissance d'un problème;;;;;;;;;;;;x
VIET_caraway_breath_freshener;Caraway Breath Freshener;Rafraîchisseur d'haleine au cumin;;;;;;;;;;;;x
VIET_opinion_lack_of_trust;Lack of Trust;Manque de confiance;;;;;;;;;;;;x
VIET_opinion_suspicious;Suspicious;Méfiant;;;;;;;;;;;;x
VIET_mild_headaches;Mild Headaches;Maux de tête légers;;;;;;;;;;;;x
VIET_mild_stomachaches;Mild Stomachaches;Maux d'estomac légers;;;;;;;;;;;;x
VIET_ginger_tea;Ginger Tea;Thé au gingembre;;;;;;;;;;;;x
VIET_ginger_tea_desc;This character is drinking ginger tea daily to help with their frequent stomachaches.;Ce personnage boit du thé au gingembre quotidiennement pour l'aider à lutter contre de fréquents maux de ventre.;;;;;;;;;;;;x
VIET_effective_pest_control;Effective Pest Control;Lutte antiparasitaire efficace;;;;;;;;;;;;x
VIET_province_famous_herbalists;Famous Herbs and Herbalists;Herbes et Herboristes célèbres;;;;;;;;;;;;x
VIET_province_famous_herbalists_desc;The herbalists from this province are renowned for the traditional remedies and treatments they have developed, made using the province's unique plants, minerals, and so on.;Les herboristes de cette province sont réputés pour les remèdes et les traitements traditionnels qu'ils ont mis au point, fabriqués à partir des plantes, des minéraux, etc. uniques dans la province.;;;;;;;;;;;;x
VIET_boulder_blessing;Boulder's Blessing;Bénédiction de Boulder;;;;;;;;;;;;x
VIET_urine_strange_color;Urine is Strange Color;Urine de couleur étrange;;;;;;;;;;;;x
VIET_province_araragi_vampire;Legends of the Demon-Slayer and Immortal Servant Girl;Légendes de la Tueuse de Démons et Servante Immortelle;;;;;;;;;;;;x
VIET_province_araragi_vampire_desc;Recently, there are stories that a demon-slayer who is impervious to any harm or injury is living in this region. According to the fanciful stories told about him, he gained these abilities after encountering otherworldly spirits, particularly an immortal girl who is his servant.;Récemment, il y a des histoires qu'un tueur de démons qui est insensible à tout préjudice ou blessure habite dans cette région. Selon les histoires fantaisistes racontées à son sujet, il a acquis ces capacités après avoir rencontré des esprits d'un autre monde, en particulier une fille immortelle qui est son serviteur.;;;;;;;;;;;;x
VIET_washed_hands;Washed Hands;Mains lavées;;;;;;;;;;;;x
VIET_washed_hands_desc;This character knows the importance of washing their hands.;Ce personnage connaît l'importance de se laver les mains.;;;;;;;;;;;;x
VIET_didnt_wash_hands;Doesn't Wash Hands;Ne se lave pas les mains;;;;;;;;;;;;x
VIET_didnt_wash_hands_desc;This character doesn't like washing their hands.;Ce personnage n'aime pas se laver les mains.;;;;;;;;;;;;x
VIET_rosewater_ointment;Rosewater Ointment;Onguent à l'eau de rose;;;;;;;;;;;;x
VIET_opinion_rosewater_ointment_gift;Bought Me Rosewater Ointment;On m'a acheté l'onguent à l'eau de rose;;;;;;;;;;;;x
VIET_opinion_garden_advice;Gardening Advice;Conseils de jardinage;;;;;;;;;;;;x
VIET_garden_improvements;Garden Improvements;Améliorations du jardin;;;;;;;;;;;;x
VIET_garden_improvements_desc;This character recently made some improvements to their residence's garden.;Ce personnage a récemment apporté quelques améliorations au jardin de sa résidence.;;;;;;;;;;;;x
VIET_rose_garden;Rose Garden;Roseraie;;;;;;;;;;;;x
VIET_rose_garden_desc;There is a beautiful and well-known rose garden on this character's residence.;Il y a un beau jardin de roses bien connu sur la résidence de ce personnage.;;;;;;;;;;;;x
VIET_opinion_asked_me_for_garden_advice;Asked for Gardening Advice;A demandé des conseils de jardinage;;;;;;;;;;;;x
VIET_opinion_praised_me;Praised Me;M'a loué;;;;;;;;;;;;x
VIET_opinion_insulted_me;Insulted Me;M'a insulté;;;;;;;;;;;;x
VIET_opinion_gardening_discussions;Gardening Discussions;Discussions de jardinage;;;;;;;;;;;;x
VIET_rosehip_oil;Rosehip Oil;Huile de rose musquée;;;;;;;;;;;;x
VIET_rosehip_oil_desc;They say that fragrant oils made from rosehip, the fruit of the rose plant, is good for the skin and makes one look younger.;Ils disent que les huiles parfumées à base de rose musquée, fruit de la rose, sont bénéfiques pour la peau et rajeunissent.;;;;;;;;;;;;x
VIET_feeling_jaded_about_life;Feeling Jaded About Life;Se sentir blasé de la vie;;;;;;;;;;;;x
VIET_feeling_jaded_about_life_desc;For some, life is a bother.;Pour certains, la vie est un problème.;;;;;;;;;;;;x
VIET_heartless_villain;Heartless Villain;Méchant sans coeur;;;;;;;;;;;;x
VIET_heartless_villain_desc;Seeing others suffer is a source of great pleasure and joy for this vile wretch.;Voir les autres souffrir est une source de grand plaisir et de joie pour ce vil homme.;;;;;;;;;;;;x
VIET_maidservant_forced_marriage;Forced Marriage When Young;Mariage forcé à sa jeunesse;;;;;;;;;;;;x
VIET_maidservant_forced_marriage_desc;When she was but a young maiden, this lady was forced into a marriage she didn't want. The loss of her innocence in such a manner has made her bitter and melancholy in some ways.;Quand elle n'était qu'une jeune fille, cette dame fut forcée de se marier, elle ne le voulait pas. La perte de son innocence de la sorte l'a rendue amère et mélancolique à certains égards.;;;;;;;;;;;;x
VIET_rose_tea;Rose Tea;Thé rose;;;;;;;;;;;;x
VIET_rose_tea_desc;This character recently drank some tea made from the petals and fruit of the rose, mixed together with other herbs.;Ce personnage a récemment bu du thé à base de pétales et de fruits de rose, mélangés à d'autres herbes.;;;;;;;;;;;;x
VIET_uplifting_lesson;Uplifting Lesson;Leçon édifiante;;;;;;;;;;;;x
VIET_uplifting_lesson_desc;This character has recently learned an important, uplifting lesson about the positive side of life.;Ce personnage a récemment appris une leçon importante et édifiante sur le côté positif de la vie.;;;;;;;;;;;;x
VIET_uplifting_lesson_desc;This character has recently learned an important, uplifting lesson about the positive side of life.;Ce personnage a récemment appris une leçon importante et édifiante sur le côté positif de la vie.;;;;;;;;;;;;x
VIET_musk_deer_perfume;Musk Deer Perfume;Parfum de Cerf Porte-Musc;;;;;;;;;;;;x
VIET_musk_deer_perfume_desc;Musk Deer Perfume;Parfum de Cerf Porte-Musc;;;;;;;;;;;;x
VIET_musk_deer_soap;Musk Deer Soap;Savon de Cerf Porte-Musc;;;;;;;;;;;;x
VIET_musk_deer_medicine;Musk Deer Medicines;Médicaments de Cerf Porte-Musc;;;;;;;;;;;;x
VIET_province_musk_deer;Musk Deer;Cerf Porte-Musc;;;;;;;;;;;;x
VIET_province_musk_deer_desc;The numbers of musk deer in this province has grown lately. There are huge profits to be made from the glands of male musk deer, used to make perfumes, soaps, medicines, and more, so this has stimulated the local economy.;Le nombre de cerfs porte-musc dans cette province a augmenté ces derniers temps. Les glandes de cerfs porte-musc mâles, utilisés pour la fabrication de parfums, de savons, de médicaments, etc., permettent de réaliser d'énormes profits, ce qui a stimulé l'économie locale.;;;;;;;;;;;;x
VIET_rose_tea;Rose Tea;Thé rose;;;;;;;;;;;;x
VIET_rose_tea_desc;This character recently consumed some herbal tea, whose main component were rose petals, the fruit of the rose plant, or both.;Ce personnage a récemment consommé du thé à base de plantes, dont les composants principaux étaient des pétales de rose, le fruit de la rose, ou les deux.;;;;;;;;;;;;x
VIET_not_enough_sex_rumors;Perceived Lack of Virility;Manque perçu de virilité;;;;;;;;;;;;x
VIET_not_enough_sex_rumors_desc;Rumor has it this grown man doesn't have enough experience with women.;La rumeur dit que cet homme adulte n'a pas assez d'expérience avec les femmes.;;;;;;;;;;;;x
VIET_dishonored_deflowered_maiden;Dishonorable Maiden;Fille déshonorée;;;;;;;;;;;;x
VIET_dishonored_deflowered_maiden_desc;They say when she was younger, this lady lost her innocence to a disreputable man, smearing her and her family's reputation for the rest of her life.;Ils disent que, lorsqu'elle était plus jeune, cette dame avait perdu son innocence face à un homme peu recommandable, la salissant ainsi que la réputation de sa famille pour le restant de ses jours.;;;;;;;;;;;;x
VIET_captured_notorious_bandit;Captured Notorious Bandit;Bandit notoire capturé;;;;;;;;;;;;x
VIET_captured_notorious_bandit_desc;Under this person's leadership, a most notorious bandit who had evaded capture for years was finally brought to justice.;Sous le commandement de cette personne, un bandit très célèbre qui avait échappé à la capture pendant des années a finalement été traduit en justice.;;;;;;;;;;;;x
VIET_hired_notorious_bandit;Hired Notorious Bandit;Bandit notoire engagé;;;;;;;;;;;;x
VIET_hired_notorious_bandit_desc;This person was responsible for apprehending a most notorious bandit who had evaded capture for years. Yet, instead of serving justice, this person recruited the services of the villain for their own ends.;Cette personne était responsable de l'arrestation d'un bandit très notoire qui avait échappé à la capture pendant des années. Cependant, au lieu de servir la justice, cette personne a recruté les services du méchant à ses propres fins.;;;;;;;;;;;;x
VIET_notorious_bandit;Notorious Bandit;Bandit notoire;;;;;;;;;;;;x
VIET_notorious_bandit_desc;This person was once an infamous brigand, a self-proclaimed "obtainer of goods, taker of lives, and defiler of daughters," before they decided to make use of their talents for somewhat more official ends.;Cette personne était autrefois un infâme brigand, un autoproclamé «acquéreur de biens, preneur de vies et défenseur de filles», avant de décider de se servir de leurs talents à des fins un peu plus officielles.;;;;;;;;;;;;x
VIET_respects_women;Respects Women;Respecte les femmes;;;;;;;;;;;;x
VIET_opinion_shameless_rake;Shameless Rake;Râteau sans vergogne;;;;;;;;;;;;x
VIET_opinion_condenscending_attitude;Condenscending Attitude;Attitude condescendante;;;;;;;;;;;;x
VIET_defiler_of_maidens;Defiler of Maidens;Profanateur de jeunes filles;;;;;;;;;;;;x
VIET_defiler_of_maidens_desc;This rake enjoys seducing and ruining naive virgins, and is quite proud of that fact. Not too many approve of this hobby of his, particulary given some of the nasty rumors surrounding his antics.;Ce râteau aime séduire et ruiner les vierges naïves et en est très fier. Peu de gens approuvent son passe-temps, surtout compte tenu des mauvaises rumeurs qui entourent ses singeries.;;;;;;;;;;;;x
VIET_wolfish_grin;Wolfish Grin;Canines de Loup;;;;;;;;;;;;x
VIET_wolfish_grin_desc;This character has a very unsettling grin that makes them look like a ravenous wolf, ready to pounce on some fresh meat.;Ce personnage a des canines très troublantes qui le fait ressembler à un loup vorace, prêt à se jeter sur de la viande fraîche.;;;;;;;;;;;;x
VIET_shared_dream_good;Shared Dream (Good);Rêve partagé (bon);;;;;;;;;;;;x
VIET_shared_dream_bad;Shared Dream (Bad);Rêve partagé (mauvais);;;;;;;;;;;;x
VIET_kdrama_dream_girls_pov;Dreamt of an Innocent Love Story;A rêvé d'une Histoire d'Amour Innocente;;;;;;;;;;;;x
VIET_kdrama_dream_girls_pov_desc;"He was handsome and brooding, yet what did she see in this annoying man who was almost like an arrogant older brother to her?";"Il était beau et rêveur, mais qu'a-t-elle vu dans cet homme agaçant qui ressemblait presque à un frère aîné arrogant ?";;;;;;;;;;;;x
VIET_kdrama_dream_boys_pov;Dreamt of an Innocent Love Story;A rêvé d'une Histoire d'Amour Innocente;;;;;;;;;;;;x
VIET_kdrama_dream_boys_pov_desc;"She was pretty and plucky, yet what did he see in this silly girl who was almost like a stupid little sister to him?";"Elle était belle et courageuse, mais qu'est-ce qu'il a vu dans cette idiote qui ressemblait presque à une stupide petite soeur ?";;;;;;;;;;;;x
VIET_dreamscape_dream;Dreamt of a Primordial Universe;A rêvé d'un Univers Primordial;;;;;;;;;;;;x
VIET_campfire_dream;Reality or Dream?;Réalité ou Rêve ?;;;;;;;;;;;;x
VIET_primordial_river_dream;Dreamt of a Primordial River;A rêvé d'une Rivière Primordiale;;;;;;;;;;;;x
VIET_primordial_river_dream_desc;"In the beginning of existence, there was nothing but the primordial river, that stretched endlessly. All that was, was the river.";"Au début de l'existence, il n'y avait que la rivière primordiale, qui s'étendait sans fin. Tout ce qui existait, c'était la rivière.";;;;;;;;;;;;x
VIET_kdrama_music_dream;Inspiring Dream about Music;Rêve inspirant à propos de la musique;;;;;;;;;;;;x
VIET_kdrama_music_dream_desc;In dreams, in music, and in love, there are no impossibilities.;En rêve, en musique et en amour, il n'y a pas d'impossibilités.;;;;;;;;;;;;x
VIET_lost_tunnel_dream;Dreamt of an Endless Dungeon;A rêvé d'un Donjon sans Fin;;;;;;;;;;;;x
VIET_lost_tunnel_dream_desc;This unfortunate victim never found a way out in a dream they recently had.;Cette malheureuse victime n'a jamais trouvé le moyen de sortir de son rêve.;;;;;;;;;;;;x
VIET_vague_dream_of_dreamer_female;Dreamed of a Mysterious Woman;A rêvé d'une Femme Mystérieuse;;;;;;;;;;;;x
VIET_vague_dream_of_dreamer_female_desc;"In the primordial fields, she wandered in a dream at the end of time.";"Dans les champs primordiaux, elle a erré dans un rêve à la fin des temps.";;;;;;;;;;;;x
VIET_vague_dream_of_dreamer_male;Dreamed of a Mysterious Man;A rêvé d'un Homme Mystérieux;;;;;;;;;;;;x
VIET_vague_dream_of_dreamer_male_desc;"In the primordial fields, he wandered in a dream at the end of time.";"Dans les champs primordiaux, il a erré dans un rêve à la fin des temps.";;;;;;;;;;;;x
VIET_appreciates_fine_art;Appreciates True Art;Apprécie le vrai art;;;;;;;;;;;;x
VIET_appreciates_fine_art_desc;"Only a cultured person such as myself can understand the intricacies and nuances of the artist's hidden message!";"Seule une personne cultivée comme moi peut comprendre les subtilités et les nuances du message caché de l'artiste!";;;;;;;;;;;;x
VIET_opinion_values_our_relationship;Values Our Relationship;Valorise notre relation;;;;;;;;;;;;x
VIET_opinion_doesnt_value_relationship;Doesn't Value Relationship;Ne valorise pas la relation;;;;;;;;;;;;x
VIET_three_kingdoms_cao_cao;Inspired by the Three Kingdoms Warlord Cao Cao;Inspiré par le seigneur de guerre des Trois Royaumes, Cao Cao;;;;;;;;;;;;x
VIET_three_kingdoms_cao_cao_desc;"I would rather betray the world, then have the world betray me.";"Je préférerais trahir le monde, que le monde me trahisse.";;;;;;;;;;;;x
VIET_three_kingdoms_liu_bei;Inspired by the Three Kingdoms Warlord Liu Bei;Inspiré par le seigneur de guerre des Trois Royaumes Liu Bei;;;;;;;;;;;;x
VIET_three_kingdoms_liu_bei_desc;Benevolence!;Bienveillance !;;;;;;;;;;;;x
VIET_three_kingdoms_sun_quan;Inspired by the Three Kingdoms Warlord Sun Quan;Inspiré par le seigneur de guerre des Trois Royaumes Sun Quan ;;;;;;;;;;;;x
VIET_three_kingdoms_sun_quan_desc;The longest-lived of the founders of the Three Kingdoms, his contributions and ability have often been underestimated, even in death. This person understands things differently.;Le fondateur des Trois Royaumes, qui a vécu le plus longtemps, ses contributions et ses capacités ont souvent été sous-estimées, même à la mort. Cette personne comprend les choses différemment.;;;;;;;;;;;;x
VIET_three_kingdoms_dong_zhuo;Inspired by the Three Kingdoms Warlord Dong Zhuo;Inspiré par le seigneur de guerre des Trois Royaumes, Dong Zhuo;;;;;;;;;;;;x
VIET_three_kingdoms_dong_zhuo_desc;Although Dong Zhuo is generally considered a villain, this person sees instead the value power, ambition, and harsh authority can bring - so long as it is not mixed with lust and arrogance.;Bien que Dong Zhuo soit généralement considéré comme un méchant, cette personne voit plutôt la valeur que le pouvoir, l'ambition et une autorité dure peuvent apporter - tant que cela n'est pas mélangé avec la luxure et l'arrogance.;;;;;;;;;;;;x
VIET_three_kingdoms_guan_yu;Inspired by the Three Kingdoms General Guan Yu;Inspiré par le général des Trois Royaumes, Guan Yu;;;;;;;;;;;;x
VIET_three_kingdoms_guan_yu_desc;Guan Yu was so famed and respected in real life as a warrior that he was later deified in China. Whether this person believes Guan Yu is truly the God of War or not, they see in his honor and bravery an example for all.;Guan Yu était si célèbre et respecté dans la vie réelle en tant que guerrier qu'il a ensuite été déifié en Chine. Que cette personne pense que Guan Yu est vraiment le Dieu de la Guerre ou non, elle voit dans son honneur et son courage un exemple pour tous.;;;;;;;;;;;;x
VIET_three_kingdoms_zhang_fei;Inspired by the Three Kingdoms General Zhang Fei;Inspiré par le général des Trois Royaumes, Zhang Fei;;;;;;;;;;;;x
VIET_three_kingdoms_zhang_fei_desc;Though often an angry drunk who was not as calm and sensible as his elder sworn brothers Liu Bei and Guan Yu, Zhang Fei was nevertheless a fearsome and capable warrior, and for this reason this person holds him in high regard.;Bien souvent ivre et en colère, il n'était pas aussi calme et sensé que ses frères aînés assermentés, Liu Bei et Guan Yu. Zhang Fei était néanmoins un guerrier redoutable et capable, et pour cette raison, cette personne le tient en haute estime.;;;;;;;;;;;;x
