#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
reserved_desc;This character is cool and formal in behaviour, with no display of emotions.;Ce personnage est neutre dans son comportement, sans affichage d'émotions.;GERMAN;;SPANISH;;;;;;;;;x;
rigid;Rigid;Rigide;GERMAN;;SPANISH;;;;;;;;;x;
rigid_desc;Incapable of adapting to new circumstances.;Le personnage ne s'est pas s'adater à de nouvelles circonstances.;GERMAN;;SPANISH;;;;;;;;;x;
unfriendly;Unfriendly;Inamical;GERMAN;;SPANISH;;;;;;;;;x;
unfriendly_desc;This character is a loner, making no efforts in finding or keeping friends.;Ce personnage est un solitaire, et il ne fait pas d'effort pour changer cela.;GERMAN;;SPANISH;;;;;;;;;x;
calm;Calm;Calme;GERMAN;;SPANISH;;;;;;;;;x;
calm_desc;Undisturbed by passion or excitement, this character is so peaceful that may be seen as a coward by some.;Perturbé par la passion ou l'excitation, ce personnage est si paisible qu'il peut être vu comme un lâche par certains.;GERMAN;;SPANISH;;;;;;;;;x;
authoritative;Authoritative;Autoritaire;GERMAN;;SPANISH;;;;;;;;;x;
authoritative_desc;This character has a solid grasp of how hierarchy works and takes advantage of it.;Ce personnage possède une solide compréhension de la façon dont la hiérarchie fonctionne et en tire profit.;GERMAN;;SPANISH;;;;;;;;;x;
plain;Plain;Rustre;GERMAN;;SPANISH;;;;;;;;;x;
plain_desc;Characters with this trait lack any distinction or beauty - in fact, it's hard to believe they come from noble origin.;Les personnages avec ce trait manque de distinction ou de beauté - en fait, il est difficile de croire qu'ils proviennent d'une noble origine.;GERMAN;;SPANISH;;;;;;;;;x;
carefulplanner;Careful Planner;Planificateur;GERMAN;;SPANISH;;;;;;;;;x;
carefulplanner_desc;An expert in strategy and maps, quite apt at coming up with ingenious plans.;Un expert en stratégie et cartes, tout à fait apte aux plans les plus ingénieux.;GERMAN;;SPANISH;;;;;;;;;x;
EVTDESCffhumours.0;I'm feeling much better now, doctor. \nThe coughing stopped and I haven't had any *cough* *cough*...;Je me sens beaucoup mieux maintenant, docteur. \nLa toux s'arrête et je n'ai pas eu de *tousse** tousse * ...;;;;;;;;;;;;x;
EVTOPTAffhumours.0;Do I really need to drink this awful potion?;Ai-je vraiment besoin de boire cette potion?;;;;;;;;;;;;x;
EVTDESCffhumours.1;Oh, this overflowing moisture from my nose... \nand the tears, I cannot contain.;Oh, ce truc déborde de mon nez... \n et les larmes, je ne peux les contenir...;;;;;;;;;;;;x;
EVTOPTAffhumours.1;The doctor said something about me being... er... phlegmatic.;Le docteur a dit quelque chose sur moi, que j'étais... euh... flegmatique.;;;;;;;;;;;;x;
EVTDESCffhumours.2;The doctor informed us the child should stay in bed and drink only warm water while wearing a used sock around the neck. \n\nBefore leaving, he said not to worry, the green snot would soon turn yellow and the child would be better again.;Le médecin nous a informés que l'enfant devait rester au lit et ne boire que de l'eau chaude tout en portant une chaussette utilisé autour du cou. \n \n Avant de partir, il a dit ne pas s'inquiéter, la morve verte allait bientôt devenir jaune et l'enfant irait mieux encore.;;;;;;;;;;;;x;
EVTOPTAffhumours.2;The child is... phlegmatic?;L'enfant est... flegmatique?;;;;;;;;;;;;x;
EVTDESCffhumours.3;Oh, this overflowing moisture from my nose... \nand the tears, I cannot contain.;Oh, ce truc déborde de mon nez... \n et les larmes, je ne peux les contenir...;;;;;;;;;;;;x;
EVTOPTAffhumours.3;The doctor said something about me being phlegmatic.;Le docteur a dit quelque chose sur moi, que j'étais... euh... flegmatique.;;;;;;;;;;;;x;
EVTDESCffhumours.4;The doctor informed us the child should stay in bed and drink only warm water while wearing a used sock around the neck. \n\nBefore leaving, he said not to worry, the green snot would soon turn yellow and the child would be better again.;Le médecin nous a informés que l'enfant devait rester au lit et ne boire que de l'eau chaude tout en portant une chaussette utilisé autour du cou. \n \n Avant de partir, il a dit ne pas s'inquiéter, la morve verte allait bientôt devenir jaune et l'enfant irait mieux encore.;;;;;;;;;;;;x;
EVTOPTAffhumours.4;Pleghmatic, huh?;Flegmatique, hein?;;;;;;;;;;;;x;
EVTDESCffhumours.5;My tongue is rough and swollen.\nI have great thirst and my excrements is full of slime.;Ma langue est rugueuse et enflée. \nJ'ai une grande soif et mes excréments sont pleins de boue.;;;;;;;;;;;;x;
EVTOPTAffhumours.5;The doctor warned me of my choleric temperament.;Le médecin m'a averti de mon tempérament billieux.;;;;;;;;;;;;x;
EVTDESCffhumours.6;After examining the child, the doctor brought the chamber pot and asked me to smell the waste in it. Reluctantly, I gave a sniff.\nIt stank pretty bad.\nThe old man pointed to the slimy yellowish bits and assured me the child would soon recover and there was nothing to worry about.;Après avoir examiné l'enfant, le médecin a pris son pot de chambre et m'a demandé de sentir ce qu'il contenait. À contrecœur j'ai reniflé.\nCela puait.\nLe vieil homme a souligné les morceaux visqueux jaunâtres et m'a assuré que l'enfant allait bientôt se rétablir et il n'y avait rien à craindre.;;;;;;;;;;;;x;
EVTOPTAffhumours.6;Oh, Did I need to smell that to learn the child is choleric?;Ho, je crois bien que l'enfant est billieux.;;;;;;;;;;;;x;
EVTDESCffhumours.7;Oh, this overflowing moisture from my nose... \nand the tears, I cannot contain.;Oh, ce truc déborde de mon nez ... \n et les larmes, je ne peux les contenir...;;;;;;;;;;;;x;
EVTOPTAffhumours.7;Did the doctor say... pleghmatic?;Le docteur a dit quelque chose sur moi, que j'étais ... euh ... flegmatique.;;;;;;;;;;;;x;
EVTDESCffhumours.8;The doctor informed us the child should stay in bed and drink only warm water while wearing a used sock around the neck. \n\nBefore leaving, he said not to worry, the green snot would soon turn yellow and the child would be better again.;Le médecin nous a informés que l'enfant devait rester au lit et ne boire que de l'eau chaude tout en portant une chaussette utilisé autour du cou. \n \n Avant de partir, il a dit ne pas s'inquiéter, la morve verte allait bientôt devenir jaune et l'enfant irait mieux encore.;;;;;;;;;;;;x;
EVTOPTAffhumours.8;Phlegmatic? What does he mean?;Flegmatique, hein ?;;;;;;;;;;;;x;
EVTDESCffhumours.9;My face swells as my cheeks grow red.\nMy forehead is also heavy and full of grief.;Mon visage se gonfle et mes joues rougissent. Ma tête est lourde et pleinne de chagrin.;;;;;;;;;;;;x;
EVTOPTAffhumours.9;The doctor says this is typical of my sanguine nature.;Le docteur dit que c'est typique de ma nature sanguine.;;;;;;;;;;;;x;
EVTDESCffhumours.10;The doctor left some herbs and asked us to pray for the child's swift recovery. Following the old man to the door, I asked: \nWhat is wrong? \nHe elaborated on the importance of blood - and left before I could make sense of his words.;Le médecin a laissé quelques herbes et nous a demandé de prier pour le rétablissement rapide de l'enfant. En racompagnant le vieil homme à la porte, je lui ai demandé ce qui n'allait pas\nIl a insisté sur l'importance du sang - et nous a quitté avant que je puisse donner un sens à ses paroles.;;;;;;;;;;;;x;
EVTOPTAffhumours.10;So... the child is of sanguine temperament, huh?;Alors ... l'enfant a un tempérament sanguin, hein?;;;;;;;;;;;;x;
EVTDESCffhumours.11;My face swells as my cheeks grow red.\nMy forehead is also heavy and full of grief.;Mon visage se gonfle et mes joues rougissent. Ma tête est lourde et pleinne de chagrin.;;;;;;;;;;;;x;
EVTOPTAffhumours.11;The doctor said this is typical of my sanguine nature.;Le docteur dit que c'est typique de ma nature sanguine.;;;;;;;;;;;;x;
EVTDESCffhumours.12;The doctor left some herbs and asked us to pray for the child's swift recovery. Following the old man to the door, I asked: \nWhat is wrong? \nHe elaborated on the importance of blood - and left before I could make sense of his words.;Le médecin a laissé quelques herbes et nous a demandé de prier pour le rétablissement rapide de l'enfant. En racompagnant le vieil homme à la porte, je lui ai demandé ce qui n'allait pas\nIl a insisté sur l'importance du sang - et nous a quitté avant que je puisse donner un sens à ses paroles.;;;;;;;;;;;;x;
EVTOPTAffhumours.12;The child is of sanguine temperament, huh?;Alors ... l'enfant a un tempérament sanguin, hein?;;;;;;;;;;;;x;
EVTDESCffhumours.13;My tongue is rough and swollen.\nI have great thirst and my excrements are full of slime.;Ma langue est rugueuse et enflée. \nJ'ai une grande soif et mes excréments sont pleins de boue.;;;;;;;;;;;;x;
EVTOPTAffhumours.13;The doctor warned me of my choleric temperament.;Le médecin m'a averti de mon tempérament billieux.;;;;;;;;;;;;x;
EVTDESCffhumours.14;After examining the child, the doctor brought the chamber pot and asked me to smell the waste in it. Reluctantly, I gave a sniff.\nIt stank pretty bad.\nThe old man pointed to the slimy yellowish bits and assured me the child would soon recover and there was nothing to worry about.;Après avoir examiné l'enfant, le médecin a pris son pot de chambre et m'a demandé de sentir ce qu'il contenait. À contrecœur j'ai reniflé.\nCela puait.\nLe vieil homme a souligné les morceaux visqueux jaunâtres et m'a assuré que l'enfant allait bientôt se rétablir et il n'y avait rien à craindre.;;;;;;;;;;;;x;
EVTOPTAffhumours.14;So... the little brat is choleric, huh?;Alors ... le sale gosse est billieux, hein?;;;;;;;;;;;;x;
EVTDESCffhumours.15;I have feverish dream-like visions, everything seems dark and wrong. Am I going mad?;J'ai de fiévreuses visions oniriques, tout semble sombre et maléfique. Suis-je fou?;;;;;;;;;;;;x;
EVTOPTAffhumours.15;Melancholic... yes, the doctor might be right.;Mélancolique ... oui, le médecin a peut-être raison.;;;;;;;;;;;;x;
EVTDESCffhumours.16;The doctor left some herbs by the fire and asked us to pray for the child's swift recovery. Following the old man to the door, I asked: \nWhat is wrong? \nHe shook his head and mumbled one last word before leaving into the night.;Le médecin a laissé quelques herbes et nous a demandé de prier pour le rétablissement rapide de l'enfant. En suivant le vieil homme à la porte, je lui ai demandé ce qui n'allait pas.\nIl secoua la tête et marmonna un dernier mot avant de partir dans la nuit.;;;;;;;;;;;;x;
EVTOPTAffhumours.16;The little quiet one is melancholic, then?;Lepetit enfant calme est mélancolique, alors?;;;;;;;;;;;;x;
EVTDESCffhumours.17;My face swells as my cheeks grow red.\nMy forehead is also heavy and full of grief.;Mon visage se gonfle et mes joues rougissent. Ma tête est lourde et pleinne de chagrin.;;;;;;;;;;;;x;
EVTOPTAffhumours.17;The doctor said this is typical of my sanguine nature.;Le docteur dit que c'est typique de ma nature sanguine.;;;;;;;;;;;;x;
EVTDESCffhumours.18;The doctor left some herbs and asked us to pray for the child's swift recovery. Following the old man to the door, I asked: \nWhat is wrong? \nHe elaborated on the importance of blood - and left before I could make sense of his words.;Le médecin a laissé quelques herbes et nous a demandé de prier pour le rétablissement rapide de l'enfant. En racompagnant le vieil homme à la porte, je lui ai demandé ce qui n'allait pas\nIl a insisté sur l'importance du sang - et nous a quitté avant que je puisse donner un sens à ses paroles.;;;;;;;;;;;;x;
EVTOPTAffhumours.18;The child is of sanguine temperament, huh?;Alors ... l'enfant a un tempérament sanguin, hein?;;;;;;;;;;;;x;
EVTDESCffhumours.19;I have feverish dream-like visions, everything seems dark and wrong. Am I going mad?;J'ai de fiévreuses visions oniriques, tout semble sombre et maléfique. Suis-je fou?;;;;;;;;;;;;x;
EVTOPTAffhumours.19;Melancholic... yes, the doctor might be right.;Mélancolique ... oui, le médecin a peut-être raison.;;;;;;;;;;;;x;
EVTDESCffhumours.20;The doctor left some herbs by the fire and asked us to pray for the child's swift recovery. Following the old man to the door, I asked: \nWhat is wrong? \nHe shook his head and mumbled one last word before leaving into the night.;Le médecin a laissé quelques herbes et nous a demandé de prier pour le rétablissement rapide de l'enfant. En racompagnant le vieil homme à la porte, je lui ai demandé ce qui n'allait pas\nIl a insisté sur l'importance du sang - et nous a quitté avant que je puisse donner un sens à ses paroles.;;;;;;;;;;;;x;
EVTOPTAffhumours.20;The little quiet one is melancholic, then?;Lepetit enfant calme est mélancolique, alors?;;;;;;;;;;;;x;
EVTDESCffhumours.21;My tongue is rough and swollen.\nI have great thirst and my excrements are full of slime.;Ma langue est rugueuse et enflée. \nJ'ai une grande soif et mes excréments sont pleins de boue.;;;;;;;;;;;;x;
EVTOPTAffhumours.21;The doctor warned me of my choleric temperament.;Le médecin m'a averti de mon tempérament billieux.;;;;;;;;;;;;x;
EVTDESCffhumours.22;After examining the child, the doctor brought the chamber pot and asked me to smell the waste in it. Reluctantly, I gave a sniff.\nIt stank pretty bad.\nThe old man pointed to the slimy yellowish bits and assured me the child would soon recover and there was nothing to worry about.;Après avoir examiné l'enfant, le médecin a pris son pot de chambre et m'a demandé de sentir ce qu'il contenait. À contrecœur j'ai reniflé.\nCela puait.\nLe vieil homme a souligné les morceaux visqueux jaunâtres et m'a assuré que l'enfant allait bientôt se rétablir et il n'y avait rien à craindre.;;;;;;;;;;;;x;
EVTOPTAffhumours.22;Oh, I didn't need to smell that to know the child is choleric!;Ho, je crois bien que l'enfant est billieux.;;;;;;;;;;;;x;
EVTDESCffhumours.23;I have feverish dreams like visions, everything seems dark and bad. Am I going mad?;J'ai de fiévreuses visions oniriques, tout semble sombre et maléfique. Suis-je fou?;;;;;;;;;;;;x;
EVTOPTAffhumours.23;Melancholic... yes, the doctor might be right.;Mélancolique ... oui, le médecin a peut-être raison.;;;;;;;;;;;;x;
EVTDESCffhumours.24;The doctor left some herbs by the fire and asked us to pray for the child's swift recovery. Following the old man to the door, I asked: \nWhat is wrong? \nHe shook his head and mumbled one last word before leaving into the night.;Le médecin a laissé quelques herbes et nous a demandé de prier pour le rétablissement rapide de l'enfant. En racompagnant le vieil homme à la porte, je lui ai demandé ce qui n'allait pas\nIl a insisté sur l'importance du sang - et nous a quitté avant que je puisse donner un sens à ses paroles.;;;;;;;;;;;;x;
EVTOPTAffhumours.24;So the little quiet one is melancholic, then?;Lepetit enfant calme est mélancolique, alors?;;;;;;;;;;;;x;
EVTDESCffhumours.25;How should I begin this poem?;Comment dois-je commencer ce poème?;;;;;;;;;;;;x;
EVTOPTAffhumours.25;I must look upon myself to find that which is unique to my soul...;Je dois trouver en moi ce qui est unique à mon âme ...;;;;;;;;;;;;x;
EVTDESCffhumours.26;How should I begin this poem?;Comment dois-je commencer ce poème?;;;;;;;;;;;;x;
EVTOPTAffhumours.26;I must look upon myself to find that which is unique to my soul...;Je dois trouver en moi ce qui est unique à mon âme ...;;;;;;;;;;;;x;
EVTDESCffhumours.27;Of course I can tame this horse.;Bien sûr, je peut apprivoiser ce cheval.;;;;;;;;;;;;x;
EVTOPTAffhumours.27;Want to see how I do it?;Voulez vous voir comment ?;;;;;;;;;;;;x;
EVTDESCffhumours.28;Would you like to hear a story, child?;Voulez-vous entendre une histoire, mon enfant ?;;;;;;;;;;;;x;
EVTOPTAffhumours.28;There are so many good ones. I remember this one time, a few years back...;Il y en a tellement de bonnes. Je me souviens de celle-ci: il était une fois....;;;;;;;;;;;;x;
EVTDESCffhumours.29;Can't wait for the feast to begin!;Je ne peux attendre que la fête commence!;;;;;;;;;;;;x;
EVTOPTAffhumours.29;How do I look?;De quoi ai-je l'air ?;;;;;;;;;;;;x;
EVTDESCffhumours.30;Can't wait for the feast to begin!;Je ne peux attendre que la fête commence!;;;;;;;;;;;;x;
EVTOPTAffhumours.30;How do I look?;De quoi ai-je l'air ?;;;;;;;;;;;;x;
EVTDESCffhumours.31;Of course I can tame this horse.;Bien sûr, je peut apprivoiser ce cheval.;;;;;;;;;;;;x;
EVTOPTAffhumours.31;Want to see how I do it?;Voulez vous voir comment ?;;;;;;;;;;;;x;
EVTDESCffhumours.32;What a strange dream I had...;Quel étrange réve...;;;;;;;;;;;;x;
EVTOPTAffhumours.32;Could this be some sort of sign?;Serait-ce une sorte de signe?;;;;;;;;;;;;x;
EVTDESCffhumours.33;Can't wait for the feast to begin!;Je ne peux attendre que la fête commence!;;;;;;;;;;;;x;
EVTOPTAffhumours.33;How do I look?;De quoi ai-je l'air ?;;;;;;;;;;;;x;
EVTDESCffhumours.34;What a strange dream I had...;Quel étrange réve...;;;;;;;;;;;;x;
EVTOPTAffhumours.34;Could this be some sort of sign?;Serait-ce une sorte de signe?;;;;;;;;;;;;x;
EVTDESCffhumours.35;Of course I can tame this horse.;Bien sûr, je peut apprivoiser ce cheval.;;;;;;;;;;;;x;
EVTOPTAffhumours.35;Want to see how I do it?;Voulez vous voir comment ?;;;;;;;;;;;;x;
EVTDESCffhumours.36;What a tragic and bloody battle it was! \nLost some good friends there... \nbut I've also learned a valuable lesson.;Quelle bataille tragique et sanglante ce fut!\n J'ai perdu de bons amis là-bas ... \n mais j'ai aussi appris une leçon précieuse.;;;;;;;;;;;;x;
EVTOPTAffhumours.36;And the lesson is...;Et cette leçon c'est...;;;;;;;;;;;;x;
EVTDESCffhumours.37;What a tiny little thing I am.;Quelle petite chose je suis.;;;;;;;;;;;;x;
EVTOPTAffhumours.37;I will grow.;Je grandirai.;;;;;;;;;;;;x;
EVTDESCffhumours.38;The Lord has blessed me\nwith such great health.\nAnd spared me of any \ncrippling afflictions.;Le Seigneur m'a béni \n avec une bonne santé. \n Et il m'a épargné de tous les maux invalidants.;;;;;;;;;;;;x;
EVTOPTAffhumours.38;It's almost a miracle...;C'est un miracle.;;;;;;;;;;;;x;
EVTDESCffhumours.39;When I'm alone and everything is quiet,\nI sometimes ask myself:\nwho am I?;Quand je suis seul et que tout est calme, \nJe me demande parfois: \nqui suis-je ?;;;;;;;;;;;;x;
EVTOPTAffhumours.39;I see myself as...;Je me vois comme quelqu'un de...;;;;;;;;;;;;x;
EVTDESCffhumours.100;Now that I grow older, I see much better\nthe sinful ways in which I behaved.\nNo more, I say.\nI have finally realised peace is not\nthe absence of conflict.;Maintenant que je vieillis, je vois beaucoup mieux \n les voies pécheresses dans lesquelles je me suis empétrées.\n Pas plus, je vous dis. \n Le temps des larmes est terminée.;;;;;;;;;;;;x;
EVTOPTAffhumours.100;But the ability to cope with it.;Il est maintenant temps de se repentir.;;;;;;;;;;;;x;
EVTDESCffhumours.101;Now that I grow older, I see much better\nthe excesses of my behaviour.\nNo more of this folly.;Maintenant que je vieillis, je vois beaucoup mieux \n les voies pécheresses dans lesquelles je me suis empétrées.\n Pas plus, je vous dis. \n Le temps des larmes est terminée.;;;;;;;;;;;;x;
EVTOPTAffhumours.101;I no longer fear whispers and shadows.;;;;;;;;;;;;;x;
EVTDESCffhumours.102;Now that I grow older,\nI see false modesty as sinful \nas arrogance.;Maintenant que je vieillis, je vois beaucoup mieux \n les voies pécheresses dans lesquelles je me suis empétrées.\n Pas plus, je vous dis. \n Le temps des larmes est terminée.;;;;;;;;;;;;x;
EVTOPTAffhumours.102;I will no longer pretend to be humble and meek.;Il est maintenant temps de se repentir.;;;;;;;;;;;;x;
EVTDESCffhumours.103;Now that I grow older,\nI enjoy much more the attention\nfrom others.;Maintenant que je vieillis, je vois beaucoup mieux \n les voies pécheresses dans lesquelles je me suis empétrées.\n Pas plus, je vous dis. \n Le temps des larmes est terminée.;;;;;;;;;;;;x;
EVTOPTAffhumours.103;I no longer shy away from people.;;;;;;;;;;;;;x;
EVTDESCffhumours.104;Now that I grow older, I see much better\nthe sinful ways in which I behaved.\nEnough, I say.;Maintenant que je vieillis, je vois beaucoup mieux \n les voies pécheresses dans lesquelles je me suis empétrées.\n Pas plus, je vous dis. \n Le temps des larmes est terminée.;;;;;;;;;;;;x;
EVTOPTAffhumours.104;Keep the goblet away from me.;;;;;;;;;;;;;x;
EVTDESCffadopt.1;The Lord has blessed me\nwith such great health.\nAnd spared me of any \ncrippling afflictions.;Le Seigneur m'a béni \n avec une bonne santé. \n Et il m'a épargné de tous les maux invalidants.;;;;;;;;;;;;x;
EVTOPTAffadopt.1;It's almost a miracle...;C'est un miracle.;;;;;;;;;;;;x;
EVTDESCffadopt.2;This must be said:\nthe more time we spend together, \n, the more I cherish the boy's company.;Il faut le dire: \n plus nous passons de temps ensemble, \n plus je chéris la compagnie du garçon.;;;;;;;;;;;;x;
EVTOPTAffadopt.2;He even looks a bit like me!;Il a l'air d'être un peu comme moi.;;;;;;;;;;;;x;
EVTDESCffadopt.3;I do not need a talking monkey\nI need a heir.\nAnd a well-behaved one.;Je n'ai pas besoin d'un singe parlant \n J'ai besoin d'un héritier. \n Et d'un bien élevé.;;;;;;;;;;;;x;
EVTOPTAffadopt.3;So shut your mouth and do as I command you.;Alors taisez-vous et faites ce que je vous commande.;;;;;;;;;;;;x;
EVTDESCffadopt.4;I have developed a true \naffection for the child. But I can see he \nstill struggles with life in court....;J'ai développé une affection véritable pour l'enfant. Mais je vois qu'il est toujours aux prises avec la vie de la cour ....;;;;;;;;;;;;x;
EVTOPTAffadopt.4;I should praise the boy and encourage him further.;Je loue le garçon et l'encourage davantage.;;;;;;;;;;;;x;
EVTOPTBffadopt.4;Fatherly love should not stand in the way of duty.;L'amour paternel ne doit pas se mettre en travers du chemin du devoir.;;;;;;;;;;;;x;
EVTDESCffadopt.5;Daddy loves me.;Père  m'aime.;;;;;;;;;;;;x;
EVTOPTAffadopt.5;I humbly thank him for all his care.;Je lui donne humblement des remerciement pour tous ses soins.;;;;;;;;;;;;x;
EVTOPTBffadopt.5;I will repay his kindness by bringing much glory to his dynasty.;Je vais lui rendre sa bonté en apportant beaucoup de gloire à sa dynastie.;;;;;;;;;;;;x;
EVTTOOLTIPffadopt.5;The boy [This.GetFirstName] is grateful for having such a caring father.;Le garçon [This.GetFirstName] est reconnaissante d'avoir un tel père attentionné.;;;;;;;;;;;;x;
EVTTOOLTIPffadopt.6;Lady [This.GetFirstName], your spouse, might share your love for the child... \n...or resent you for neglecting her.;Lady [This.GetFirstName], votre conjoint partage votre amour pour l'enfant ... Mais vous ne supportez pas d'être négliger par elle.;;;;;;;;;;;;x;
EVTDESCffadopt.7;It hurts to be treated like this.\nAre they ashamed of me?\nWhat have I done wrong?;Ça fait mal d'être traité comme ça. Ont-ils honte de moi? Qu'ai-je fait de mal?;;;;;;;;;;;;x;
EVTOPTAffadopt.7;One day... I'll show them.;Un jour... je leur montrerai.;;;;;;;;;;;;x;
EVTTOOLTIPffadopt.7;The boy [This.GetFirstName] feels rejected but will likely try to prove himself to you.;Le garçon [This.GetFirstName] se sent rejeté, mais va probablement essayer de vous faire ses preuves.;;;;;;;;;;;;x;
EVTTOOLTIPffadopt.8;Lady [This.GetFirstName], your spouse, should understand your position.\nThere is a chance, however, she will side with the child.;Lady [This.GetFirstName], votre conjointe devrait comprendre votre position. \n Il ya une chance, cependant, qu'elle se rangera du côté de l'enfant.;;;;;;;;;;;;x;
EVTDESCffnotific.2;Oh, these books - they are most precious things I've ever seen!;Oh, ces livres - ce sont des choses les plus précieuses que j'ai jamais vu!;;;;;;;;;;;;x;
EVTOPTAffnotific.2;I must find more time for them.;Je dois trouver plus de temps pour eux.;;;;;;;;;;;;x;
EVTDESCffnotific.3;Hmm. Yes. \nVery well. Of course. \nIndeed...;Hmm. Oui. \n Très bien. Bien sûr. \n En effet ...;;;;;;;;;;;;x;
EVTOPTAffnotific.3;Er... sorry - what were you saying?;Er ... désolé - qu'est ce que vous disiez ?;;;;;;;;;;;;x;
EVTDESCffnotific.4;Life is simple. \nWe struggle with the misery. \nAnd then we die.;La vie est simple. \nNous luttons avec misère. \nEt puis nous mourons.;;;;;;;;;;;;x;
EVTOPTAffnotific.4;The body may complain but the soul towers above the pain.;Le corps peut se plaindre, mais l'âme s'élève au-dessus de la douleur.;;;;;;;;;;;;x;
EVTDESCffnotific.5;I wonder why no one comes to visit...;Je me demande pourquoi personne ne vient nous rendre visite ...;;;;;;;;;;;;x;
EVTOPTAffnotific.5;Go fetch my horses. They'll be my guests in the dining room tonight.;Aller chercher mes chevaux. Ils seront mes invités ce soir à la salle à manger.;;;;;;;;;;;;x;
EVTDESCffnotific.6;I live to serve, my Lord.;Je vis pour servir, mon Seigneur.;;;;;;;;;;;;x;
EVTOPTAffnotific.6;I will not fail my Liege.;Je n'y manquerai pas mon Suzerain.;;;;;;;;;;;;x;
EVTDESCffnotific.7;I'd rather drink a bucket of shit \nthan eat this rotten food!;Je préfère boire un seau de merde que manger cette nourriture pourrie!;;;;;;;;;;;;x;
EVTOPTAffnotific.7;And what is this foul smell? Stinks worst than the queen's cu--;Et quelle est cette odeur nauséabonde? Pire que la reine lorsqu'elle -...;;;;;;;;;;;;x;
EVTDESCffnotific.8;I know you don't like surprises...;Je sais que vous n'aimez pas les surprises ...;;;;;;;;;;;;x;
EVTOPTAffnotific.8; ...but I think you'll enjoy this one!;... mais je pense que vous apprécierez celle-ci!;;;;;;;;;;;;x;
EVTDESCffnotific.9;Thank you for the kind words, \nbut, no, I'm not clever!;Je vous remercie pour les aimables paroles, \n mais, non, je ne suis pas intelligent!;;;;;;;;;;;;x;
EVTOPTAffnotific.9;I just enjoy the challenge of solving problems.;Je viens profiter du défi que cela représente.;;;;;;;;;;;;x;
EVTDESCffnotific.10;Have you read the scriptures? There's this passage...;Avez-vous lu les Écritures ? Il ya ce passage ...;;;;;;;;;;;;x;
EVTOPTAffnotific.10;...and I quote: Ephesians 6:10 - Trust in the Lord with all your heart...;... et je cite: Éphésiens 6:10 - Accepte ma confiance du Seigneur de tout ton cœur ...;;;;;;;;;;;;x;
EVTDESCffnotific.11;My family is my life.;Ma famille est ma vie.;;;;;;;;;;;;x;
EVTOPTAffnotific.11;They are my blood.;Ils sont mon sang.;;;;;;;;;;;;x;
EVTDESCffnotific.12;I would rather feel compassion than know the meaning of it.;Je préfère avoir de la compassion que de savoir la signification de cela.;;;;;;;;;;;;x;
EVTOPTAffnotific.12;O Holy Spirit, descend plentifully into my heart.;Ô Esprit-Saint, descend en abondance dans mon cœur.;;;;;;;;;;;;x;
EVTDESCffnotific.13;No. Certainly not. \nI mean... \n...well... \n...let me think...;Non Certainement pas. \nJe veux dire ... \n ... eh bien ... \n...laissez-moi réfléchir ...;;;;;;;;;;;;x;
EVTOPTAffnotific.13;Yes... it really depends, does it not?;Oui ... cela dépend vraiment, n'est-ce pas?;;;;;;;;;;;;x;
EVTDESCffnotific.14;Indeed, this is a very important decision. \nNo need to be hasty.;En effet, il s'agit d'une décision très importante. \nNul besoin de se précipiter.;;;;;;;;;;;;x;
EVTOPTAffnotific.14;Let me sleep on it first.;Laissez-moi dormir d'abord.;;;;;;;;;;;;x;
EVTDESCffnotific.15;What are you bothering me about?;De quoi me parlez vous ?;;;;;;;;;;;;x;
EVTOPTAffnotific.15;No, I'm not crying!;Non, je ne pleure pas!;;;;;;;;;;;;x;
EVTDESCffnotific.16;God hides some ideal in every single human soul.;Dieu cache un idéal dans chaque âme humaine.;;;;;;;;;;;;x;
EVTOPTAffnotific.16;Yes, I aim for perfection.;Oui, je vise la perfection.;;;;;;;;;;;;x;
EVTDESCffnotific.17;I know nothing about this secret meeting.;Je ne sais rien à propos de cette réunion secrète.;;;;;;;;;;;;x;
EVTOPTAffnotific.17;Of course, to keep a secret one must hide any knowledge of it!;Bien sûr, celui qui garde un secret doit cacher qu'il en connait un !;;;;;;;;;;;;x;
EVTDESCffnotific.18;Are you all tired?;Vous êtes fatigués?;;;;;;;;;;;;x;
EVTOPTAffnotific.18;I'm sure we can reach the summit by noon.;Je suis sûr que nous pouvons atteindre le sommet avant midi.;;;;;;;;;;;;x;
EVTDESCffnotific.19;I may seem too confident, mayhaps...;Je peux sembler trop confiant, peut être ...;;;;;;;;;;;;x;
EVTOPTAffnotific.19;...but do not worry - my confidence matches my talents.;... mais ne vous inquiétez pas - ma confiance correspond à mes talents.;;;;;;;;;;;;x;
EVTDESCffnotific.20;Efficiency is doing better what is already being done.;L'efficacité se prouve par ses réalisations.;;;;;;;;;;;;x;
EVTOPTAffnotific.20;How can we improve upon this?;Comment pouvons-nous améliorer cela ?;;;;;;;;;;;;x;
EVTDESCffnotific.21;Take the children away. \nI don't want them soiling their presents.;Enlever les enfants. \n Je ne veux pas les voir salir leurs cadeaux.;;;;;;;;;;;;x;
EVTOPTAffnotific.21;Better yet, take all these gifts to my bedroom, I'll keep them there.;Mieux encore, mettez tous ces cadeaux dans ma chambre, je vais les garder.;;;;;;;;;;;;x;
